"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNIONISTA"	"TODOS"	"UCN"	"VAMOS"	"PHG"	"UNE"	"PC"	"CREO"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4963"	"4"	"2"	"9"	"2"	"400"	"126"	"93"	"8"	"24"	"7"	"11"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"9"	"6"	"0"	"294"	"294"	"1"	"0"
"4964"	"4"	"2"	"9"	"2"	"400"	"138"	"101"	"6"	"20"	"1"	"21"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"6"	"4"	"0"	"310"	"310"	"1"	"1"
"4965"	"4"	"2"	"9"	"2"	"400"	"157"	"84"	"5"	"30"	"2"	"19"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"4"	"2"	"0"	"312"	"312"	"1"	"0"
"4966"	"4"	"2"	"9"	"2"	"399"	"147"	"101"	"0"	"23"	"2"	"14"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"10"	"2"	"0"	"308"	"308"	"1"	"0"
"4967"	"4"	"2"	"9"	"2"	"400"	"141"	"103"	"2"	"37"	"6"	"12"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"4"	"2"	"0"	"315"	"315"	"1"	"0"
"4968"	"4"	"2"	"9"	"2"	"399"	"129"	"100"	"1"	"25"	"2"	"12"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"5"	"5"	"0"	"289"	"289"	"1"	"0"
"4969"	"4"	"2"	"9"	"2"	"400"	"127"	"97"	"2"	"18"	"6"	"19"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"7"	"4"	"0"	"290"	"290"	"1"	"0"
"4970"	"4"	"2"	"9"	"2"	"400"	"121"	"101"	"3"	"21"	"4"	"13"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"4"	"2"	"0"	"283"	"283"	"1"	"0"
"4971"	"4"	"2"	"9"	"2"	"400"	"115"	"97"	"2"	"19"	"7"	"14"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"8"	"4"	"0"	"276"	"276"	"1"	"0"
"4972"	"4"	"2"	"9"	"2"	"400"	"121"	"98"	"1"	"21"	"3"	"12"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"8"	"4"	"0"	"274"	"274"	"1"	"0"
