"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"FUERZA"	"UNE"	"SEMILLA"	"PC"	"MLP"	"TODOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8015"	"4"	"7"	"4"	"2"	"400"	"43"	"66"	"7"	"35"	"23"	"90"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"5"	"7"	"0"	"293"	"293"	"1"	"0"
"8016"	"4"	"7"	"4"	"2"	"400"	"51"	"62"	"12"	"52"	"15"	"96"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"6"	"15"	"0"	"320"	"320"	"1"	"0"
"8017"	"4"	"7"	"4"	"2"	"400"	"48"	"95"	"15"	"29"	"17"	"68"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"7"	"14"	"0"	"304"	"304"	"1"	"0"
"8018"	"4"	"7"	"4"	"2"	"400"	"49"	"88"	"10"	"25"	"27"	"68"	"26"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"7"	"10"	"0"	"316"	"316"	"1"	"0"
"8019"	"4"	"7"	"4"	"2"	"400"	"49"	"82"	"16"	"27"	"36"	"91"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"10"	"4"	"2"	"324"	"324"	"1"	"0"
"8020"	"4"	"7"	"4"	"2"	"396"	"57"	"85"	"17"	"30"	"15"	"84"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"8"	"5"	"0"	"306"	"306"	"1"	"0"
"8021"	"4"	"7"	"4"	"2"	"400"	"47"	"83"	"16"	"20"	"29"	"97"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"10"	"5"	"0"	"321"	"321"	"1"	"0"
"8022"	"4"	"7"	"4"	"2"	"396"	"76"	"80"	"7"	"35"	"32"	"80"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"5"	"10"	"0"	"334"	"334"	"1"	"0"
"8023"	"4"	"7"	"4"	"2"	"396"	"78"	"64"	"12"	"32"	"23"	"82"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"5"	"6"	"0"	"311"	"311"	"1"	"0"
"8024"	"4"	"7"	"4"	"2"	"400"	"49"	"68"	"14"	"24"	"26"	"65"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"1"	"3"	"0"	"264"	"264"	"1"	"0"
