"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VICTORIA"	"VALOR"	"PHG"	"FCN_NACION"	"PC"	"VIVA"	"SEMILLA"	"BIEN"	"MLP"	"UCN"	"PODEMOS"	"UNE"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8948"	"4"	"8"	"6"	"2"	"396"	"58"	"43"	"2"	"13"	"8"	"2"	"8"	"5"	"34"	"7"	"13"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"18"	"18"	"0"	"256"	"256"	"1"	"0"
"8949"	"4"	"8"	"6"	"2"	"400"	"85"	"21"	"2"	"12"	"6"	"2"	"9"	"6"	"19"	"3"	"4"	"2"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"31"	"15"	"0"	"263"	"263"	"1"	"0"
"8950"	"4"	"8"	"6"	"2"	"396"	"49"	"22"	"2"	"10"	"3"	"4"	"13"	"2"	"59"	"5"	"3"	"6"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"24"	"13"	"0"	"250"	"250"	"1"	"0"
"8951"	"4"	"8"	"6"	"2"	"398"	"74"	"29"	"1"	"20"	"2"	"4"	"6"	"1"	"49"	"14"	"10"	"3"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"31"	"14"	"0"	"297"	"297"	"1"	"0"
"8952"	"4"	"8"	"6"	"2"	"400"	"50"	"29"	"1"	"41"	"5"	"1"	"4"	"2"	"39"	"6"	"9"	"3"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"37"	"14"	"0"	"261"	"261"	"1"	"0"
"8953"	"4"	"8"	"6"	"2"	"398"	"28"	"38"	"0"	"29"	"10"	"0"	"8"	"3"	"44"	"6"	"8"	"2"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"23"	"14"	"0"	"248"	"248"	"1"	"0"
"8954"	"4"	"8"	"6"	"2"	"400"	"23"	"54"	"2"	"7"	"10"	"0"	"9"	"1"	"49"	"1"	"12"	"16"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"20"	"15"	"0"	"253"	"253"	"1"	"0"
"8955"	"4"	"8"	"6"	"2"	"398"	"34"	"44"	"0"	"3"	"7"	"2"	"8"	"0"	"60"	"4"	"16"	"7"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"24"	"17"	"0"	"254"	"254"	"1"	"1"
"8956"	"4"	"8"	"6"	"2"	"398"	"41"	"61"	"5"	"8"	"5"	"0"	"15"	"4"	"61"	"2"	"19"	"11"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"12"	"12"	"0"	"275"	"275"	"1"	"0"
"8957"	"4"	"8"	"6"	"2"	"400"	"58"	"81"	"0"	"9"	"8"	"1"	"6"	"2"	"45"	"14"	"9"	"9"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"18"	"18"	"0"	"295"	"295"	"1"	"0"
