"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"WINAQ"	"FUERZA"	"VIVA"	"C_S_S_"	"UNE"	"UNIONISTA"	"PAN"	"AVANZA"	"LIBRE"	"SEMILLA"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4871"	"4"	"2"	"6"	"2"	"400"	"61"	"4"	"66"	"10"	"53"	"28"	"3"	"3"	"6"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"12"	"7"	"0"	"270"	"270"	"1"	"0"
"4872"	"4"	"2"	"6"	"2"	"401"	"79"	"3"	"74"	"5"	"36"	"35"	"1"	"2"	"1"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"6"	"3"	"0"	"259"	"259"	"1"	"0"
"4873"	"4"	"2"	"6"	"2"	"400"	"55"	"2"	"74"	"7"	"40"	"40"	"1"	"1"	"1"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"9"	"5"	"0"	"251"	"251"	"1"	"0"
"4874"	"4"	"2"	"6"	"2"	"400"	"68"	"5"	"87"	"6"	"58"	"39"	"2"	"1"	"0"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"12"	"1"	"0"	"293"	"293"	"1"	"0"
"4875"	"4"	"2"	"6"	"2"	"401"	"79"	"4"	"76"	"11"	"62"	"36"	"2"	"3"	"5"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"5"	"3"	"0"	"300"	"300"	"1"	"0"
"4876"	"4"	"2"	"6"	"2"	"400"	"71"	"8"	"61"	"5"	"54"	"29"	"2"	"1"	"4"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"6"	"0"	"269"	"269"	"1"	"0"
"4877"	"4"	"2"	"6"	"2"	"400"	"51"	"6"	"99"	"9"	"56"	"41"	"1"	"4"	"1"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"5"	"3"	"0"	"288"	"288"	"1"	"0"
"4878"	"4"	"2"	"6"	"2"	"400"	"65"	"6"	"91"	"9"	"55"	"31"	"1"	"1"	"5"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"6"	"4"	"0"	"291"	"291"	"1"	"0"
"4879"	"4"	"2"	"6"	"2"	"400"	"48"	"11"	"95"	"3"	"44"	"38"	"1"	"5"	"6"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"8"	"4"	"0"	"279"	"279"	"1"	"0"
"4880"	"4"	"2"	"6"	"2"	"400"	"52"	"4"	"90"	"4"	"50"	"45"	"2"	"3"	"4"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"6"	"7"	"0"	"282"	"282"	"1"	"0"
