"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MORENA"	"UNE"	"CREO"	"BIEN"	"VAMOS"	"COMITÉ_CÍVICO_RENOVADOR"	"PHG"	"FUERZA"	"PAN"	"SEMILLA"	"VALOR"	"CAFESA"	"VIVA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6023"	"4"	"4"	"3"	"2"	"398"	"4"	"36"	"23"	"11"	"4"	"116"	"48"	"3"	"11"	"1"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"17"	"3"	"0"	"288"	"288"	"1"	"0"
"6024"	"4"	"4"	"3"	"2"	"398"	"3"	"28"	"41"	"17"	"4"	"101"	"38"	"2"	"26"	"3"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"10"	"7"	"0"	"296"	"296"	"1"	"0"
"6025"	"4"	"4"	"3"	"2"	"394"	"6"	"47"	"18"	"17"	"5"	"107"	"50"	"0"	"5"	"4"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"30"	"4"	"0"	"304"	"304"	"1"	"0"
"6026"	"4"	"4"	"3"	"2"	"400"	"7"	"35"	"30"	"12"	"4"	"120"	"50"	"9"	"15"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"17"	"1"	"0"	"308"	"308"	"1"	"0"
"6027"	"4"	"4"	"3"	"2"	"400"	"6"	"42"	"22"	"16"	"5"	"114"	"54"	"4"	"22"	"1"	"1"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"2"	"2"	"14"	"303"	"303"	"1"	"0"
"6028"	"4"	"4"	"3"	"2"	"398"	"5"	"35"	"20"	"8"	"6"	"133"	"41"	"2"	"15"	"1"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"7"	"3"	"0"	"288"	"288"	"1"	"0"
"6029"	"4"	"4"	"3"	"2"	"400"	"3"	"29"	"30"	"15"	"5"	"109"	"38"	"4"	"11"	"3"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"7"	"3"	"0"	"270"	"270"	"1"	"0"
"6030"	"4"	"4"	"3"	"2"	"400"	"3"	"30"	"34"	"7"	"4"	"120"	"42"	"6"	"7"	"0"	"2"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"10"	"0"	"0"	"277"	"277"	"1"	"0"
"6031"	"4"	"4"	"3"	"2"	"394"	"3"	"30"	"21"	"14"	"1"	"117"	"44"	"2"	"7"	"0"	"7"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"8"	"2"	"0"	"274"	"274"	"1"	"0"
"6032"	"4"	"4"	"3"	"2"	"400"	"2"	"31"	"44"	"15"	"7"	"81"	"37"	"4"	"14"	"2"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"21"	"5"	"1"	"279"	"279"	"1"	"0"
"6033"	"4"	"4"	"3"	"2"	"398"	"3"	"38"	"38"	"17"	"8"	"116"	"36"	"6"	"7"	"4"	"0"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"14"	"2"	"0"	"307"	"307"	"1"	"0"
"6034"	"4"	"4"	"3"	"2"	"400"	"2"	"45"	"28"	"9"	"0"	"110"	"44"	"2"	"8"	"2"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"11"	"4"	"0"	"276"	"276"	"1"	"0"
"6035"	"4"	"4"	"3"	"2"	"400"	"2"	"43"	"20"	"2"	"4"	"118"	"33"	"1"	"5"	"0"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"19"	"4"	"0"	"266"	"266"	"1"	"0"
"6036"	"4"	"4"	"3"	"2"	"400"	"3"	"27"	"33"	"8"	"3"	"114"	"57"	"0"	"19"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"3"	"0"	"285"	"285"	"1"	"0"
"6037"	"4"	"4"	"3"	"2"	"327"	"1"	"46"	"17"	"6"	"5"	"106"	"36"	"3"	"14"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"2"	"0"	"0"	"245"	"245"	"1"	"0"
"6038"	"4"	"4"	"3"	"2"	"326"	"3"	"25"	"22"	"8"	"2"	"101"	"44"	"3"	"6"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"7"	"2"	"0"	"229"	"229"	"1"	"0"
"6039"	"4"	"4"	"3"	"2"	"398"	"10"	"47"	"27"	"11"	"13"	"81"	"24"	"9"	"16"	"7"	"2"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"12"	"3"	"0"	"275"	"275"	"1"	"0"
"6040"	"4"	"4"	"3"	"2"	"393"	"4"	"47"	"44"	"11"	"4"	"103"	"25"	"12"	"6"	"2"	"3"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"13"	"2"	"0"	"287"	"287"	"1"	"0"
"6041"	"4"	"4"	"3"	"2"	"392"	"6"	"54"	"47"	"5"	"5"	"97"	"21"	"11"	"7"	"4"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"7"	"5"	"0"	"280"	"280"	"1"	"0"
"6042"	"4"	"4"	"3"	"2"	"376"	"3"	"17"	"56"	"31"	"9"	"11"	"144"	"5"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"14"	"6"	"0"	"303"	"303"	"1"	"0"
