"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"VIVA"	"VAMOS"	"TODOS"	"FUERZA"	"EG"	"PHG"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15314"	"4"	"14"	"14"	"2"	"400"	"51"	"36"	"54"	"76"	"1"	"31"	"2"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"9"	"0"	"287"	"287"	"1"	"0"
"15315"	"4"	"14"	"14"	"2"	"400"	"52"	"28"	"57"	"80"	"1"	"19"	"3"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"17"	"6"	"0"	"276"	"276"	"1"	"0"
"15316"	"4"	"14"	"14"	"2"	"400"	"52"	"44"	"53"	"64"	"4"	"18"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"24"	"12"	"0"	"280"	"280"	"1"	"0"
"15317"	"4"	"14"	"14"	"2"	"400"	"73"	"41"	"52"	"67"	"1"	"27"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"273"	"26"	"90"	"9"	"391"	"389"	"0"	"0"
"15318"	"4"	"14"	"14"	"2"	"400"	"70"	"22"	"54"	"71"	"1"	"16"	"1"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"37"	"15"	"0"	"301"	"301"	"1"	"0"
"15319"	"4"	"14"	"14"	"2"	"400"	"76"	"23"	"51"	"78"	"1"	"29"	"2"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"15"	"11"	"0"	"301"	"301"	"1"	"0"
"15320"	"4"	"14"	"14"	"2"	"400"	"50"	"19"	"76"	"90"	"1"	"28"	"4"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"29"	"6"	"0"	"313"	"313"	"1"	"0"
"15321"	"4"	"14"	"14"	"2"	"400"	"55"	"26"	"44"	"87"	"0"	"20"	"6"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"6"	"8"	"0"	"270"	"270"	"1"	"0"
"15322"	"4"	"14"	"14"	"2"	"400"	"49"	"27"	"55"	"48"	"0"	"19"	"4"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"14"	"7"	"2"	"235"	"235"	"1"	"0"
"15323"	"4"	"14"	"14"	"2"	"400"	"56"	"23"	"49"	"74"	"1"	"27"	"2"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"9"	"11"	"0"	"268"	"268"	"1"	"0"
"15324"	"4"	"14"	"14"	"2"	"400"	"69"	"32"	"47"	"68"	"0"	"22"	"3"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"10"	"0"	"282"	"282"	"1"	"0"
"15325"	"4"	"14"	"14"	"2"	"400"	"50"	"36"	"40"	"70"	"2"	"16"	"5"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"26"	"18"	"0"	"278"	"278"	"1"	"1"
"15326"	"4"	"14"	"14"	"2"	"400"	"51"	"29"	"58"	"79"	"0"	"19"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"12"	"13"	"0"	"272"	"272"	"1"	"0"
