"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"VAMOS"	"PHG"	"CREO"	"BIEN"	"ELCA"	"VALOR"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6216"	"4"	"4"	"8"	"2"	"400"	"13"	"30"	"69"	"17"	"17"	"48"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"24"	"7"	"0"	"248"	"248"	"1"	"0"
"6217"	"4"	"4"	"8"	"2"	"399"	"8"	"32"	"80"	"20"	"13"	"40"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"26"	"8"	"0"	"251"	"251"	"1"	"0"
"6218"	"4"	"4"	"8"	"2"	"400"	"24"	"15"	"76"	"27"	"14"	"57"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"20"	"3"	"0"	"254"	"254"	"1"	"0"
"6219"	"4"	"4"	"8"	"2"	"401"	"9"	"26"	"86"	"16"	"14"	"54"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"24"	"4"	"0"	"253"	"253"	"1"	"0"
"6220"	"4"	"4"	"8"	"2"	"396"	"15"	"22"	"80"	"15"	"16"	"67"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"16"	"8"	"0"	"258"	"258"	"1"	"0"
"6221"	"4"	"4"	"8"	"2"	"400"	"13"	"20"	"93"	"20"	"35"	"50"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"11"	"3"	"0"	"254"	"254"	"1"	"0"
"6222"	"4"	"4"	"8"	"2"	"396"	"30"	"47"	"112"	"9"	"17"	"61"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"7"	"4"	"0"	"294"	"294"	"1"	"0"
"6223"	"4"	"4"	"8"	"2"	"400"	"14"	"33"	"103"	"11"	"19"	"49"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"8"	"3"	"0"	"249"	"249"	"1"	"0"
"6224"	"4"	"4"	"8"	"2"	"396"	"20"	"26"	"71"	"10"	"14"	"54"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"12"	"1"	"0"	"224"	"224"	"1"	"0"
"6225"	"4"	"4"	"8"	"2"	"397"	"23"	"23"	"75"	"14"	"8"	"57"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"13"	"4"	"0"	"231"	"231"	"1"	"0"
