"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"EG"	"PPT"	"URNG_MAIZ"	"VALOR"	"CREO"	"SEMILLA"	"VIVA"	"LIBRE"	"FCN_NACION"	"PODEMOS"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10565"	"4"	"10"	"10"	"2"	"396"	"96"	"48"	"8"	"6"	"21"	"5"	"4"	"6"	"38"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"13"	"2"	"0"	"259"	"259"	"1"	"0"
"10566"	"4"	"10"	"10"	"2"	"400"	"100"	"48"	"5"	"5"	"40"	"5"	"0"	"4"	"31"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"16"	"11"	"0"	"274"	"274"	"1"	"0"
"10567"	"4"	"10"	"10"	"2"	"400"	"113"	"54"	"11"	"7"	"32"	"7"	"4"	"3"	"26"	"6"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"7"	"4"	"0"	"282"	"282"	"1"	"0"
"10568"	"4"	"10"	"10"	"2"	"400"	"135"	"44"	"5"	"1"	"27"	"2"	"0"	"4"	"15"	"1"	"22"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"6"	"6"	"0"	"271"	"271"	"1"	"0"
"10569"	"4"	"10"	"10"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10570"	"4"	"10"	"10"	"2"	"400"	"117"	"44"	"3"	"7"	"74"	"3"	"0"	"1"	"11"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"14"	"6"	"0"	"289"	"289"	"1"	"0"
"10571"	"4"	"10"	"10"	"2"	"400"	"127"	"51"	"3"	"2"	"65"	"4"	"1"	"2"	"13"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"16"	"2"	"0"	"293"	"293"	"1"	"0"
"10572"	"4"	"10"	"10"	"2"	"400"	"135"	"42"	"0"	"2"	"56"	"7"	"3"	"0"	"19"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"10"	"7"	"0"	"288"	"288"	"1"	"0"
"10573"	"4"	"10"	"10"	"2"	"400"	"113"	"53"	"13"	"6"	"32"	"3"	"5"	"3"	"37"	"7"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"9"	"4"	"0"	"294"	"294"	"1"	"0"
"10574"	"4"	"10"	"10"	"2"	"407"	"116"	"38"	"6"	"5"	"27"	"6"	"1"	"2"	"31"	"6"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"19"	"3"	"0"	"271"	"271"	"1"	"0"
"10575"	"4"	"10"	"10"	"2"	"398"	"107"	"47"	"5"	"1"	"46"	"2"	"3"	"2"	"20"	"4"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"5"	"2"	"0"	"253"	"253"	"1"	"0"
"10576"	"4"	"10"	"10"	"2"	"400"	"83"	"55"	"6"	"1"	"25"	"2"	"3"	"2"	"35"	"6"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"10"	"4"	"159"	"241"	"241"	"1"	"0"
