"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"CONVERGENCIA"	"VICTORIA"	"BIEN"	"VAMOS"	"VALOR"	"UNIONISTA"	"PHG"	"FCN_NACION"	"UNE"	"PC"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8662"	"4"	"8"	"2"	"2"	"400"	"7"	"23"	"21"	"28"	"26"	"2"	"14"	"32"	"32"	"31"	"17"	"2"	"9"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"254"	"6"	"5"	"0"	"265"	"265"	"0"	"0"
"8663"	"4"	"8"	"2"	"2"	"400"	"4"	"21"	"16"	"30"	"28"	"11"	"15"	"41"	"23"	"34"	"30"	"3"	"4"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"274"	"19"	"5"	"0"	"294"	"298"	"0"	"0"
"8664"	"4"	"8"	"2"	"2"	"400"	"6"	"17"	"26"	"23"	"22"	"4"	"13"	"38"	"51"	"28"	"25"	"0"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"25"	"0"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"264"	"263"	"17"	"6"	"0"	"287"	"286"	"0"	"0"
"8665"	"4"	"8"	"2"	"2"	"400"	"3"	"20"	"15"	"25"	"11"	"2"	"1"	"25"	"78"	"21"	"4"	"6"	"3"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"14"	"9"	"0"	"251"	"251"	"1"	"0"
"8666"	"4"	"8"	"2"	"2"	"400"	"6"	"18"	"19"	"21"	"25"	"7"	"10"	"39"	"42"	"28"	"11"	"7"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"16"	"4"	"0"	"263"	"263"	"1"	"0"
"8667"	"4"	"8"	"2"	"2"	"400"	"9"	"16"	"16"	"44"	"31"	"2"	"5"	"32"	"50"	"50"	"12"	"2"	"2"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"12"	"6"	"0"	"305"	"305"	"1"	"0"
"8668"	"4"	"8"	"2"	"2"	"400"	"7"	"28"	"9"	"36"	"21"	"2"	"18"	"19"	"58"	"31"	"11"	"5"	"4"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"18"	"9"	"0"	"286"	"286"	"1"	"0"
"8669"	"4"	"8"	"2"	"2"	"400"	"8"	"22"	"19"	"30"	"20"	"2"	"17"	"28"	"24"	"32"	"14"	"3"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"14"	"2"	"0"	"245"	"245"	"1"	"0"
"8670"	"4"	"8"	"2"	"2"	"400"	"8"	"14"	"27"	"25"	"24"	"5"	"13"	"40"	"25"	"32"	"23"	"3"	"3"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"12"	"4"	"0"	"272"	"272"	"1"	"0"
"8671"	"4"	"8"	"2"	"2"	"400"	"9"	"24"	"25"	"21"	"26"	"5"	"15"	"44"	"34"	"25"	"16"	"4"	"3"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"11"	"5"	"0"	"278"	"278"	"1"	"0"
"8672"	"4"	"8"	"2"	"2"	"400"	"7"	"17"	"22"	"27"	"33"	"7"	"17"	"39"	"20"	"39"	"30"	"8"	"3"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"11"	"8"	"0"	"298"	"298"	"1"	"0"
"8673"	"4"	"8"	"2"	"2"	"400"	"7"	"21"	"18"	"31"	"34"	"4"	"16"	"36"	"27"	"38"	"19"	"8"	"11"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"2"	"3"	"0"	"289"	"289"	"1"	"1"
"8674"	"4"	"8"	"2"	"2"	"421"	"4"	"19"	"14"	"24"	"26"	"3"	"21"	"42"	"25"	"30"	"19"	"7"	"2"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"19"	"7"	"2"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"8"	"3"	"0"	"258"	"258"	"1"	"0"
"8675"	"4"	"8"	"2"	"2"	"389"	"7"	"17"	"11"	"20"	"34"	"7"	"16"	"41"	"27"	"36"	"15"	"5"	"4"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"13"	"4"	"0"	"271"	"271"	"1"	"0"
"8676"	"4"	"8"	"2"	"2"	"388"	"13"	"20"	"29"	"21"	"37"	"4"	"12"	"29"	"23"	"34"	"21"	"6"	"1"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"8"	"5"	"0"	"275"	"275"	"1"	"0"
"8677"	"4"	"8"	"2"	"2"	"400"	"8"	"17"	"15"	"29"	"23"	"6"	"5"	"32"	"60"	"26"	"23"	"2"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"20"	"6"	"0"	"284"	"284"	"1"	"0"
"8678"	"4"	"8"	"2"	"2"	"400"	"4"	"23"	"5"	"30"	"18"	"2"	"4"	"27"	"44"	"37"	"19"	"1"	"1"	"10"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"17"	"7"	"0"	"261"	"261"	"1"	"0"
"8679"	"4"	"8"	"2"	"2"	"400"	"9"	"12"	"8"	"35"	"20"	"3"	"7"	"35"	"34"	"35"	"24"	"2"	"7"	"9"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"15"	"8"	"0"	"281"	"281"	"1"	"0"
"8680"	"4"	"8"	"2"	"2"	"400"	"15"	"16"	"9"	"29"	"18"	"13"	"5"	"47"	"47"	"44"	"11"	"10"	"3"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"12"	"9"	"0"	"301"	"301"	"1"	"0"
"8681"	"4"	"8"	"2"	"2"	"400"	"7"	"13"	"15"	"34"	"16"	"16"	"2"	"39"	"29"	"60"	"12"	"3"	"1"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"10"	"10"	"0"	"285"	"285"	"1"	"0"
"8682"	"4"	"8"	"2"	"2"	"400"	"9"	"16"	"17"	"28"	"35"	"7"	"4"	"40"	"43"	"35"	"11"	"3"	"4"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"18"	"8"	"0"	"290"	"290"	"1"	"0"
"8683"	"4"	"8"	"2"	"2"	"400"	"13"	"20"	"10"	"40"	"27"	"11"	"0"	"27"	"40"	"32"	"12"	"4"	"7"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"11"	"0"	"1"	"266"	"266"	"1"	"0"
"8684"	"4"	"8"	"2"	"2"	"400"	"15"	"25"	"11"	"24"	"13"	"6"	"4"	"36"	"32"	"36"	"13"	"12"	"6"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"10"	"3"	"0"	"260"	"260"	"1"	"0"
"8685"	"4"	"8"	"2"	"2"	"400"	"5"	"28"	"22"	"29"	"27"	"7"	"3"	"41"	"26"	"40"	"10"	"7"	"4"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"15"	"2"	"0"	"279"	"279"	"1"	"0"
