"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"BIEN"	"VAMOS"	"PODEMOS"	"UNE"	"UCN"	"URNG_MAIZ"	"FUERZA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11167"	"4"	"11"	"5"	"2"	"400"	"98"	"77"	"7"	"51"	"43"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"5"	"3"	"0"	"293"	"293"	"1"	"6"
"11168"	"4"	"11"	"5"	"2"	"400"	"108"	"62"	"13"	"57"	"14"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"20"	"6"	"0"	"294"	"294"	"1"	"0"
"11169"	"4"	"11"	"5"	"2"	"399"	"87"	"95"	"13"	"72"	"27"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"13"	"2"	"0"	"322"	"322"	"1"	"0"
"11170"	"4"	"11"	"5"	"2"	"400"	"101"	"79"	"16"	"73"	"27"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"18"	"3"	"0"	"325"	"325"	"1"	"2"
"11171"	"4"	"11"	"5"	"2"	"400"	"92"	"105"	"14"	"56"	"31"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"17"	"6"	"0"	"332"	"332"	"1"	"93"
"11172"	"4"	"11"	"5"	"2"	"400"	"90"	"64"	"17"	"76"	"38"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"16"	"6"	"0"	"316"	"316"	"1"	"0"
"11173"	"4"	"11"	"5"	"2"	"400"	"100"	"80"	"17"	"66"	"17"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"11"	"12"	"0"	"311"	"311"	"1"	"0"
"11174"	"4"	"11"	"5"	"2"	"395"	"127"	"64"	"11"	"61"	"34"	"6"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"13"	"5"	"1"	"327"	"327"	"1"	"1"
"11175"	"4"	"11"	"5"	"2"	"400"	"108"	"64"	"11"	"77"	"30"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"16"	"11"	"0"	"327"	"327"	"1"	"0"
"11176"	"4"	"11"	"5"	"2"	"396"	"103"	"81"	"16"	"65"	"49"	"10"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"5"	"3"	"0"	"335"	"335"	"1"	"2"
