"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"UNE"	"VAMOS"	"UNIONISTA"	"PHG"	"FCN_NACION"	"PC"	"VIVA"	"BIEN"	"LIBRE"	"AVANZA"	"CREO"	"UCN"	"PODEMOS"	"VALOR"	"FUERZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8716"	"4"	"8"	"3"	"2"	"396"	"34"	"2"	"63"	"9"	"2"	"17"	"18"	"3"	"8"	"9"	"1"	"20"	"8"	"8"	"6"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"5"	"5"	"0"	"267"	"267"	"1"	"0"
"8717"	"4"	"8"	"3"	"2"	"400"	"24"	"14"	"54"	"9"	"1"	"22"	"25"	"3"	"10"	"13"	"2"	"6"	"5"	"6"	"1"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"10"	"7"	"0"	"285"	"285"	"1"	"0"
"8718"	"4"	"8"	"3"	"2"	"400"	"48"	"14"	"46"	"12"	"2"	"16"	"13"	"5"	"12"	"4"	"2"	"8"	"8"	"9"	"6"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"20"	"7"	"0"	"286"	"286"	"1"	"0"
"8719"	"4"	"8"	"3"	"2"	"400"	"37"	"10"	"52"	"8"	"4"	"19"	"19"	"2"	"4"	"4"	"0"	"7"	"6"	"8"	"4"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"8"	"0"	"261"	"261"	"1"	"0"
"8720"	"4"	"8"	"3"	"2"	"400"	"36"	"11"	"65"	"7"	"4"	"21"	"16"	"3"	"9"	"5"	"1"	"2"	"6"	"11"	"8"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"11"	"12"	"0"	"286"	"286"	"1"	"0"
"8721"	"4"	"8"	"3"	"2"	"400"	"59"	"5"	"42"	"4"	"3"	"18"	"14"	"4"	"5"	"7"	"2"	"7"	"6"	"17"	"17"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"14"	"0"	"263"	"263"	"1"	"0"
"8722"	"4"	"8"	"3"	"2"	"396"	"54"	"9"	"56"	"6"	"1"	"14"	"16"	"4"	"1"	"10"	"0"	"11"	"14"	"8"	"7"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"10"	"0"	"270"	"270"	"1"	"0"
"8723"	"4"	"8"	"3"	"2"	"400"	"60"	"13"	"53"	"5"	"2"	"24"	"12"	"5"	"2"	"8"	"0"	"3"	"5"	"16"	"9"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"12"	"132"	"268"	"268"	"1"	"0"
"8724"	"4"	"8"	"3"	"2"	"400"	"39"	"8"	"40"	"6"	"4"	"24"	"22"	"1"	"6"	"7"	"3"	"3"	"4"	"2"	"5"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"10"	"3"	"0"	"235"	"235"	"1"	"0"
"8725"	"4"	"8"	"3"	"2"	"396"	"36"	"8"	"47"	"12"	"2"	"22"	"22"	"3"	"5"	"9"	"1"	"7"	"9"	"4"	"4"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"4"	"9"	"0"	"267"	"267"	"1"	"0"
"8726"	"4"	"8"	"3"	"2"	"396"	"32"	"13"	"58"	"6"	"3"	"17"	"30"	"2"	"8"	"12"	"0"	"3"	"0"	"6"	"6"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"4"	"6"	"0"	"264"	"264"	"1"	"0"
"8727"	"4"	"8"	"3"	"2"	"400"	"34"	"11"	"63"	"15"	"5"	"23"	"18"	"2"	"7"	"6"	"2"	"6"	"1"	"13"	"2"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"11"	"8"	"0"	"290"	"290"	"1"	"0"
"8728"	"4"	"8"	"3"	"2"	"400"	"24"	"14"	"64"	"15"	"18"	"18"	"22"	"6"	"4"	"10"	"2"	"7"	"2"	"6"	"4"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"268"	"10"	"8"	"0"	"273"	"286"	"0"	"0"
"8729"	"4"	"8"	"3"	"2"	"400"	"26"	"5"	"55"	"10"	"3"	"17"	"18"	"3"	"7"	"8"	"3"	"7"	"7"	"10"	"10"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"11"	"8"	"0"	"269"	"269"	"1"	"0"
"8730"	"4"	"8"	"3"	"2"	"352"	"27"	"5"	"37"	"9"	"4"	"17"	"24"	"6"	"4"	"7"	"1"	"9"	"4"	"6"	"2"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"3"	"2"	"0"	"219"	"219"	"1"	"0"
"8731"	"4"	"8"	"3"	"2"	"351"	"41"	"8"	"40"	"9"	"2"	"12"	"14"	"6"	"6"	"9"	"0"	"5"	"7"	"5"	"2"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"4"	"0"	"0"	"222"	"222"	"1"	"0"
"8732"	"4"	"8"	"3"	"2"	"376"	"25"	"13"	"57"	"6"	"2"	"34"	"26"	"4"	"8"	"5"	"3"	"9"	"7"	"14"	"2"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"10"	"3"	"0"	"261"	"261"	"1"	"0"
"8733"	"4"	"8"	"3"	"2"	"396"	"33"	"19"	"49"	"5"	"1"	"27"	"26"	"12"	"2"	"6"	"2"	"5"	"9"	"17"	"2"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"12"	"7"	"0"	"272"	"272"	"1"	"0"
"8734"	"4"	"8"	"3"	"2"	"376"	"29"	"24"	"53"	"2"	"1"	"27"	"24"	"7"	"3"	"6"	"3"	"1"	"16"	"18"	"1"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"10"	"7"	"0"	"256"	"256"	"1"	"0"
"8735"	"4"	"8"	"3"	"2"	"380"	"32"	"18"	"47"	"8"	"1"	"26"	"23"	"6"	"6"	"4"	"2"	"7"	"14"	"8"	"2"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"6"	"2"	"0"	"245"	"245"	"1"	"0"
"8736"	"4"	"8"	"3"	"2"	"383"	"28"	"14"	"45"	"6"	"0"	"17"	"32"	"2"	"3"	"3"	"0"	"3"	"8"	"19"	"1"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"4"	"4"	"0"	"228"	"228"	"1"	"0"
"8737"	"4"	"8"	"3"	"2"	"376"	"27"	"9"	"58"	"3"	"5"	"13"	"16"	"1"	"7"	"4"	"2"	"2"	"5"	"13"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"21"	"16"	"0"	"211"	"211"	"1"	"0"
"8738"	"4"	"8"	"3"	"2"	"376"	"43"	"7"	"82"	"1"	"5"	"12"	"29"	"1"	"14"	"2"	"2"	"1"	"1"	"8"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"8"	"16"	"0"	"242"	"242"	"1"	"0"
"8739"	"4"	"8"	"3"	"2"	"376"	"48"	"13"	"62"	"4"	"8"	"9"	"21"	"1"	"25"	"3"	"1"	"0"	"1"	"9"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"11"	"10"	"0"	"239"	"239"	"1"	"0"
"8740"	"4"	"8"	"3"	"2"	"376"	"35"	"9"	"74"	"3"	"6"	"16"	"22"	"1"	"12"	"1"	"1"	"3"	"2"	"5"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"15"	"17"	"0"	"229"	"229"	"1"	"0"
"8741"	"4"	"8"	"3"	"2"	"380"	"34"	"8"	"64"	"2"	"8"	"9"	"30"	"3"	"14"	"2"	"1"	"4"	"3"	"9"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"8"	"12"	"0"	"222"	"222"	"1"	"0"
"8742"	"4"	"8"	"3"	"2"	"380"	"25"	"5"	"75"	"3"	"6"	"11"	"27"	"1"	"20"	"4"	"3"	"2"	"4"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"198"	"16"	"22"	"0"	"232"	"236"	"0"	"0"
"8743"	"4"	"8"	"3"	"2"	"376"	"44"	"10"	"69"	"1"	"2"	"10"	"19"	"1"	"23"	"2"	"2"	"1"	"1"	"7"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"17"	"16"	"0"	"235"	"235"	"1"	"0"
"8744"	"4"	"8"	"3"	"2"	"400"	"39"	"11"	"51"	"1"	"9"	"13"	"23"	"2"	"13"	"6"	"1"	"2"	"1"	"11"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"16"	"13"	"0"	"224"	"224"	"1"	"0"
"8745"	"4"	"8"	"3"	"2"	"380"	"43"	"7"	"59"	"3"	"7"	"9"	"21"	"2"	"17"	"4"	"0"	"1"	"0"	"9"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"5"	"5"	"10"	"204"	"204"	"1"	"0"
"8746"	"4"	"8"	"3"	"2"	"395"	"35"	"9"	"66"	"2"	"4"	"12"	"19"	"0"	"12"	"8"	"2"	"1"	"1"	"7"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"11"	"8"	"0"	"209"	"209"	"1"	"0"
"8747"	"4"	"8"	"3"	"2"	"256"	"25"	"5"	"36"	"3"	"5"	"16"	"14"	"1"	"5"	"5"	"1"	"0"	"0"	"10"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"2"	"4"	"0"	"137"	"137"	"1"	"0"
"8748"	"4"	"8"	"3"	"2"	"252"	"14"	"6"	"39"	"1"	"6"	"10"	"17"	"0"	"5"	"2"	"2"	"1"	"0"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"5"	"7"	"0"	"126"	"126"	"1"	"0"
"8749"	"4"	"8"	"3"	"2"	"376"	"12"	"10"	"24"	"3"	"0"	"1"	"16"	"1"	"5"	"0"	"0"	"11"	"1"	"108"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"22"	"14"	"0"	"230"	"230"	"1"	"0"
