"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UCN"	"UNE"	"FUERZA"	"VAMOS"	"UNIONISTA"	"VALOR"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10357"	"4"	"10"	"3"	"2"	"400"	"111"	"113"	"54"	"16"	"5"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"8"	"3"	"0"	"316"	"316"	"1"	"0"
"10358"	"4"	"10"	"3"	"2"	"396"	"113"	"105"	"44"	"15"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"13"	"2"	"0"	"305"	"305"	"1"	"0"
"10359"	"4"	"10"	"3"	"2"	"400"	"107"	"101"	"65"	"10"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"16"	"4"	"0"	"313"	"313"	"1"	"0"
"10360"	"4"	"10"	"3"	"2"	"396"	"121"	"115"	"78"	"6"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"11"	"0"	"0"	"341"	"341"	"1"	"0"
"10361"	"4"	"10"	"3"	"2"	"396"	"83"	"117"	"84"	"8"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"12"	"5"	"0"	"314"	"314"	"1"	"1"
"10362"	"4"	"10"	"3"	"2"	"400"	"117"	"117"	"69"	"10"	"4"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"14"	"5"	"0"	"342"	"342"	"1"	"0"
"10363"	"4"	"10"	"3"	"2"	"396"	"119"	"116"	"66"	"9"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"10"	"3"	"63"	"333"	"333"	"1"	"0"
"10364"	"4"	"10"	"3"	"2"	"315"	"111"	"111"	"54"	"13"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"17"	"4"	"0"	"315"	"315"	"1"	"0"
"10365"	"4"	"10"	"3"	"2"	"396"	"88"	"105"	"56"	"15"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"5"	"0"	"281"	"281"	"1"	"0"
"10366"	"4"	"10"	"3"	"2"	"400"	"121"	"90"	"52"	"19"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"9"	"1"	"0"	"301"	"301"	"1"	"0"
