"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"VAMOS"	"TODOS"	"VIVA"	"EG"	"AVANZA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19729"	"4"	"20"	"10"	"2"	"396"	"136"	"46"	"23"	"8"	"6"	"24"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"4"	"0"	"256"	"256"	"1"	"0"
"19730"	"4"	"20"	"10"	"2"	"400"	"176"	"33"	"29"	"8"	"4"	"18"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"16"	"9"	"0"	"302"	"302"	"1"	"0"
"19731"	"4"	"20"	"10"	"2"	"396"	"161"	"41"	"31"	"6"	"8"	"26"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"16"	"8"	"0"	"305"	"305"	"1"	"0"
"19732"	"4"	"20"	"10"	"2"	"400"	"174"	"49"	"17"	"5"	"6"	"20"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"14"	"12"	"0"	"300"	"300"	"1"	"0"
"19733"	"4"	"20"	"10"	"2"	"400"	"184"	"45"	"20"	"6"	"6"	"21"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"18"	"5"	"0"	"308"	"308"	"1"	"0"
"19734"	"4"	"20"	"10"	"2"	"396"	"182"	"35"	"30"	"11"	"3"	"28"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"17"	"3"	"0"	"321"	"321"	"1"	"0"
"19735"	"4"	"20"	"10"	"2"	"400"	"197"	"40"	"28"	"21"	"2"	"21"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"19"	"4"	"0"	"334"	"334"	"1"	"0"
"19736"	"4"	"20"	"10"	"2"	"400"	"173"	"30"	"41"	"10"	"3"	"33"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"16"	"7"	"0"	"317"	"317"	"1"	"0"
"19737"	"4"	"20"	"10"	"2"	"400"	"196"	"28"	"31"	"7"	"9"	"18"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"14"	"8"	"0"	"319"	"319"	"1"	"2"
"19738"	"4"	"20"	"10"	"2"	"396"	"168"	"41"	"26"	"13"	"12"	"24"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"7"	"7"	"0"	"304"	"304"	"1"	"0"
