"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20928"	"4"	"22"	"16"	"2"	"400"	"166"	"124"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"12"	"4"	"0"	"306"	"306"	"1"	"1"
"20929"	"4"	"22"	"16"	"2"	"400"	"212"	"111"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"15"	"8"	"0"	"346"	"346"	"1"	"0"
"20930"	"4"	"22"	"16"	"2"	"400"	"204"	"108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"10"	"14"	"0"	"336"	"336"	"1"	"0"
"20931"	"4"	"22"	"16"	"2"	"400"	"212"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"15"	"8"	"0"	"318"	"318"	"1"	"0"
"20932"	"4"	"22"	"16"	"2"	"400"	"183"	"121"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"11"	"7"	"0"	"322"	"322"	"1"	"0"
"20933"	"4"	"22"	"16"	"2"	"400"	"173"	"124"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"13"	"15"	"0"	"325"	"325"	"1"	"0"
"20934"	"4"	"22"	"16"	"2"	"400"	"218"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"9"	"6"	"0"	"311"	"311"	"1"	"0"
"20935"	"4"	"22"	"16"	"2"	"400"	"170"	"101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"12"	"4"	"0"	"287"	"287"	"1"	"0"
"20936"	"4"	"22"	"16"	"2"	"400"	"175"	"103"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"9"	"7"	"0"	"294"	"294"	"1"	"0"
"20937"	"4"	"22"	"16"	"2"	"400"	"174"	"132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"5"	"3"	"0"	"314"	"314"	"1"	"0"
"20938"	"4"	"22"	"16"	"2"	"281"	"139"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"1"	"0"	"0"	"223"	"223"	"1"	"0"
"20939"	"4"	"22"	"16"	"2"	"281"	"145"	"80"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"2"	"1"	"1"	"228"	"228"	"1"	"0"
"20940"	"4"	"22"	"16"	"2"	"400"	"169"	"122"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"4"	"19"	"0"	"314"	"314"	"1"	"0"
"20941"	"4"	"22"	"16"	"2"	"400"	"182"	"138"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"18"	"15"	"0"	"353"	"353"	"1"	"0"
"20942"	"4"	"22"	"16"	"2"	"400"	"169"	"149"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"10"	"9"	"0"	"337"	"337"	"1"	"0"
"20943"	"4"	"22"	"16"	"2"	"399"	"180"	"104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"33"	"9"	"0"	"326"	"326"	"1"	"0"
"20944"	"4"	"22"	"16"	"2"	"400"	"209"	"99"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"11"	"4"	"0"	"323"	"323"	"1"	"0"
"20945"	"4"	"22"	"16"	"2"	"400"	"250"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"6"	"6"	"0"	"330"	"330"	"1"	"0"
"20946"	"4"	"22"	"16"	"2"	"399"	"190"	"88"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"5"	"10"	"0"	"293"	"293"	"1"	"0"
"20947"	"4"	"22"	"16"	"2"	"398"	"162"	"113"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"8"	"5"	"0"	"288"	"288"	"1"	"0"
"20948"	"4"	"22"	"16"	"2"	"400"	"183"	"122"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"5"	"7"	"0"	"317"	"317"	"1"	"0"
"20949"	"4"	"22"	"16"	"2"	"400"	"171"	"121"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"5"	"7"	"0"	"304"	"304"	"1"	"0"
"20950"	"4"	"22"	"16"	"2"	"399"	"55"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"5"	"5"	"0"	"107"	"107"	"1"	"0"
