"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"BIEN"	"SEMILLA"	"EG"	"FCN_NACION"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2103"	"4"	"1"	"4"	"2"	"400"	"28"	"88"	"17"	"10"	"33"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"10"	"5"	"15"	"209"	"209"	"1"	"0"
"2104"	"4"	"1"	"4"	"2"	"400"	"34"	"93"	"14"	"5"	"29"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"8"	"3"	"0"	"205"	"205"	"1"	"0"
"2105"	"4"	"1"	"4"	"2"	"400"	"32"	"85"	"13"	"2"	"35"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"7"	"8"	"0"	"207"	"207"	"1"	"0"
"2106"	"4"	"1"	"4"	"2"	"403"	"24"	"109"	"10"	"3"	"53"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"14"	"2"	"0"	"229"	"229"	"1"	"0"
"2107"	"4"	"1"	"4"	"2"	"400"	"37"	"82"	"14"	"2"	"64"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"19"	"4"	"0"	"230"	"230"	"1"	"0"
"2108"	"4"	"1"	"4"	"2"	"400"	"25"	"112"	"13"	"2"	"67"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"17"	"6"	"0"	"259"	"259"	"1"	"0"
"2109"	"4"	"1"	"4"	"2"	"400"	"39"	"115"	"12"	"3"	"51"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"14"	"6"	"0"	"252"	"252"	"1"	"0"
"2110"	"4"	"1"	"4"	"2"	"400"	"31"	"97"	"7"	"4"	"37"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"7"	"3"	"0"	"194"	"194"	"1"	"0"
"2111"	"4"	"1"	"4"	"2"	"400"	"23"	"90"	"7"	"9"	"26"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"9"	"1"	"0"	"175"	"175"	"1"	"0"
"2112"	"4"	"1"	"4"	"2"	"397"	"29"	"75"	"12"	"3"	"37"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"6"	"4"	"0"	"183"	"183"	"1"	"0"
"2113"	"4"	"1"	"4"	"2"	"400"	"21"	"75"	"13"	"5"	"21"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"11"	"3"	"0"	"165"	"165"	"1"	"0"
"2114"	"4"	"1"	"4"	"2"	"400"	"18"	"83"	"15"	"11"	"21"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"13"	"3"	"0"	"180"	"180"	"1"	"0"
"2115"	"4"	"1"	"4"	"2"	"400"	"22"	"92"	"16"	"9"	"43"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"4"	"3"	"0"	"202"	"202"	"1"	"0"
"2116"	"4"	"1"	"4"	"2"	"220"	"17"	"45"	"11"	"3"	"15"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"1"	"1"	"0"	"102"	"102"	"1"	"0"
"2117"	"4"	"1"	"4"	"2"	"216"	"14"	"55"	"4"	"3"	"25"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"4"	"0"	"0"	"107"	"107"	"1"	"0"
"2118"	"4"	"1"	"4"	"2"	"380"	"37"	"91"	"17"	"2"	"16"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"15"	"7"	"0"	"192"	"192"	"1"	"0"
"2119"	"4"	"1"	"4"	"2"	"380"	"36"	"100"	"15"	"1"	"18"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"20"	"4"	"0"	"203"	"203"	"1"	"0"
"2120"	"4"	"1"	"4"	"2"	"380"	"45"	"93"	"22"	"2"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"20"	"11"	"0"	"219"	"219"	"1"	"0"
"2121"	"4"	"1"	"4"	"2"	"380"	"31"	"83"	"19"	"2"	"17"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"6"	"5"	"0"	"161"	"172"	"0"	"0"
"2122"	"4"	"1"	"4"	"2"	"307"	"30"	"66"	"10"	"1"	"11"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"10"	"8"	"0"	"145"	"145"	"1"	"0"
"2123"	"4"	"1"	"4"	"2"	"306"	"29"	"66"	"14"	"3"	"17"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"7"	"3"	"0"	"146"	"146"	"1"	"0"
"2124"	"4"	"1"	"4"	"2"	"346"	"5"	"31"	"5"	"2"	"16"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"67"	"2"	"1"	"0"	"70"	"70"	"1"	"0"
