"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"UNE"	"CREO"	"VALOR"	"PC"	"BIEN"	"SEMILLA"	"LIBRE"	"FUERZA"	"VAMOS"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17029"	"4"	"16"	"10"	"2"	"400"	"120"	"118"	"8"	"7"	"7"	"7"	"4"	"2"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"10"	"7"	"0"	"298"	"298"	"1"	"0"
"17030"	"4"	"16"	"10"	"2"	"401"	"152"	"143"	"13"	"6"	"1"	"7"	"6"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"9"	"7"	"0"	"350"	"350"	"1"	"0"
"17031"	"4"	"16"	"10"	"2"	"402"	"124"	"141"	"11"	"11"	"1"	"2"	"6"	"2"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"7"	"4"	"0"	"320"	"320"	"1"	"0"
"17032"	"4"	"16"	"10"	"2"	"400"	"136"	"134"	"14"	"10"	"4"	"6"	"4"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"5"	"4"	"0"	"328"	"328"	"1"	"0"
"17033"	"4"	"16"	"10"	"2"	"400"	"142"	"125"	"16"	"12"	"3"	"3"	"7"	"0"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"4"	"8"	"0"	"337"	"337"	"1"	"0"
"17034"	"4"	"16"	"10"	"2"	"0"	"148"	"136"	"14"	"4"	"1"	"10"	"11"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"7"	"8"	"0"	"346"	"346"	"1"	"0"
"17035"	"4"	"16"	"10"	"2"	"411"	"159"	"131"	"9"	"10"	"3"	"5"	"4"	"0"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"5"	"4"	"0"	"339"	"339"	"1"	"0"
"17036"	"4"	"16"	"10"	"2"	"400"	"139"	"138"	"8"	"7"	"3"	"6"	"5"	"1"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"8"	"7"	"0"	"335"	"335"	"1"	"0"
"17037"	"4"	"16"	"10"	"2"	"400"	"107"	"133"	"7"	"3"	"2"	"4"	"10"	"2"	"5"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"2"	"1"	"0"	"291"	"291"	"1"	"0"
"17038"	"4"	"16"	"10"	"2"	"400"	"112"	"131"	"7"	"14"	"2"	"4"	"3"	"0"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"12"	"3"	"0"	"302"	"302"	"1"	"0"
"17039"	"4"	"16"	"10"	"2"	"400"	"116"	"126"	"8"	"5"	"4"	"9"	"6"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"5"	"7"	"0"	"298"	"298"	"1"	"0"
"17040"	"4"	"16"	"10"	"2"	"400"	"158"	"107"	"10"	"6"	"4"	"4"	"2"	"1"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"6"	"5"	"0"	"312"	"312"	"1"	"0"
"17041"	"4"	"16"	"10"	"2"	"400"	"128"	"127"	"10"	"5"	"1"	"4"	"9"	"0"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"7"	"4"	"0"	"310"	"310"	"1"	"0"
"17042"	"4"	"16"	"10"	"2"	"400"	"119"	"137"	"8"	"8"	"4"	"7"	"4"	"0"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"7"	"2"	"0"	"306"	"306"	"1"	"0"
