"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VALOR"	"PAN"	"VIVA"	"UCN"	"FUERZA"	"VICTORIA"	"UNIONISTA"	"LIBRE"	"MLP"	"SEMILLA"	"UNIDOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15073"	"4"	"14"	"11"	"2"	"400"	"22"	"70"	"83"	"4"	"61"	"32"	"3"	"3"	"0"	"20"	"2"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"6"	"1"	"0"	"337"	"337"	"1"	"0"
"15074"	"4"	"14"	"11"	"2"	"396"	"27"	"65"	"77"	"6"	"47"	"37"	"0"	"2"	"1"	"15"	"3"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"10"	"2"	"0"	"313"	"313"	"1"	"0"
"15075"	"4"	"14"	"11"	"2"	"396"	"32"	"74"	"80"	"6"	"45"	"28"	"3"	"2"	"0"	"18"	"4"	"34"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"8"	"6"	"0"	"341"	"341"	"1"	"0"
"15076"	"4"	"14"	"11"	"2"	"396"	"21"	"87"	"88"	"4"	"72"	"22"	"2"	"1"	"2"	"18"	"3"	"23"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"345"	"345"	"6"	"2"	"0"	"353"	"353"	"1"	"0"
"15077"	"4"	"14"	"11"	"2"	"400"	"26"	"83"	"71"	"6"	"58"	"30"	"3"	"4"	"1"	"20"	"1"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"328"	"11"	"5"	"0"	"344"	"344"	"1"	"0"
"15078"	"4"	"14"	"11"	"2"	"400"	"17"	"58"	"86"	"4"	"72"	"41"	"6"	"4"	"0"	"19"	"5"	"30"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"347"	"347"	"4"	"4"	"0"	"355"	"355"	"1"	"0"
"15079"	"4"	"14"	"11"	"2"	"396"	"13"	"82"	"102"	"6"	"58"	"35"	"5"	"4"	"1"	"11"	"2"	"32"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"354"	"354"	"4"	"4"	"0"	"362"	"362"	"1"	"0"
"15080"	"4"	"14"	"11"	"2"	"396"	"18"	"78"	"82"	"2"	"84"	"24"	"1"	"4"	"0"	"15"	"1"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"6"	"1"	"0"	"338"	"338"	"1"	"0"
"15081"	"4"	"14"	"11"	"2"	"400"	"12"	"89"	"81"	"10"	"51"	"37"	"2"	"1"	"0"	"22"	"1"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"5"	"2"	"0"	"332"	"331"	"0"	"1"
"15082"	"4"	"14"	"11"	"2"	"396"	"21"	"78"	"74"	"6"	"51"	"35"	"1"	"0"	"0"	"16"	"1"	"32"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"6"	"2"	"0"	"325"	"325"	"1"	"0"
"15083"	"4"	"14"	"11"	"2"	"396"	"24"	"59"	"85"	"3"	"56"	"23"	"2"	"0"	"1"	"12"	"1"	"30"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"10"	"3"	"0"	"311"	"311"	"1"	"0"
"15084"	"4"	"14"	"11"	"2"	"400"	"24"	"84"	"68"	"5"	"45"	"32"	"0"	"4"	"0"	"17"	"2"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"4"	"6"	"0"	"316"	"316"	"1"	"0"
"15085"	"4"	"14"	"11"	"2"	"396"	"26"	"79"	"67"	"11"	"62"	"29"	"2"	"1"	"1"	"10"	"6"	"26"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"5"	"6"	"0"	"333"	"333"	"1"	"0"
"15086"	"4"	"14"	"11"	"2"	"396"	"20"	"73"	"74"	"8"	"52"	"25"	"1"	"1"	"1"	"18"	"3"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"8"	"2"	"0"	"308"	"308"	"1"	"0"
"15087"	"4"	"14"	"11"	"2"	"400"	"14"	"86"	"77"	"3"	"54"	"32"	"0"	"1"	"0"	"20"	"4"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"3"	"1"	"0"	"322"	"322"	"1"	"0"
"15088"	"4"	"14"	"11"	"2"	"386"	"8"	"79"	"96"	"13"	"62"	"27"	"2"	"0"	"0"	"22"	"0"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"340"	"340"	"1"	"0"	"0"	"341"	"341"	"1"	"0"
"15089"	"4"	"14"	"11"	"2"	"386"	"8"	"94"	"91"	"3"	"48"	"22"	"1"	"0"	"0"	"13"	"2"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"3"	"4"	"0"	"309"	"309"	"1"	"0"
"15090"	"4"	"14"	"11"	"2"	"400"	"13"	"106"	"97"	"3"	"72"	"10"	"0"	"7"	"1"	"10"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"9"	"7"	"0"	"342"	"342"	"1"	"0"
"15091"	"4"	"14"	"11"	"2"	"400"	"14"	"126"	"106"	"5"	"77"	"4"	"1"	"1"	"1"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"344"	"344"	"9"	"4"	"0"	"357"	"357"	"1"	"0"
