"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"UNIDOS"	"EG"	"PPT"	"SEMILLA"	"LIBRE"	"URNG_MAIZ"	"UNIONISTA"	"VICTORIA"	"PHG"	"PC"	"FCN_NACION"	"AVANZA"	"PAN"	"VALOR"	"BIEN"	"CREO"	"UNE"	"MLP"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3206"	"4"	"1"	"10"	"1"	"400"	"14"	"1"	"8"	"19"	"15"	"10"	"3"	"5"	"6"	"96"	"1"	"8"	"5"	"5"	"0"	"6"	"0"	"4"	"7"	"41"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"7"	"8"	"0"	"280"	"280"	"1"	"0"
"3207"	"4"	"1"	"10"	"1"	"400"	"14"	"3"	"10"	"16"	"17"	"12"	"3"	"4"	"2"	"100"	"2"	"3"	"11"	"12"	"0"	"5"	"3"	"2"	"5"	"39"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"16"	"2"	"0"	"288"	"288"	"1"	"0"
"3208"	"4"	"1"	"10"	"1"	"400"	"12"	"8"	"4"	"20"	"17"	"10"	"8"	"1"	"2"	"85"	"2"	"5"	"5"	"7"	"2"	"3"	"2"	"2"	"4"	"45"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"15"	"2"	"0"	"276"	"276"	"1"	"0"
"3209"	"4"	"1"	"10"	"2"	"400"	"18"	"3"	"4"	"20"	"18"	"14"	"6"	"4"	"1"	"87"	"3"	"3"	"5"	"6"	"0"	"6"	"2"	"0"	"5"	"32"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"19"	"1"	"0"	"269"	"269"	"1"	"0"
"3210"	"4"	"1"	"10"	"2"	"404"	"8"	"5"	"5"	"28"	"19"	"8"	"6"	"4"	"4"	"83"	"2"	"4"	"5"	"7"	"1"	"5"	"2"	"2"	"10"	"35"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"12"	"1"	"0"	"265"	"265"	"1"	"0"
"3211"	"4"	"1"	"10"	"1"	"400"	"15"	"5"	"3"	"22"	"16"	"12"	"9"	"5"	"6"	"114"	"1"	"7"	"4"	"8"	"3"	"6"	"2"	"1"	"3"	"30"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"17"	"3"	"0"	"304"	"304"	"1"	"0"
"3212"	"4"	"1"	"10"	"2"	"405"	"14"	"4"	"3"	"45"	"16"	"15"	"15"	"5"	"3"	"79"	"1"	"3"	"3"	"12"	"0"	"5"	"5"	"2"	"3"	"39"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"5"	"4"	"0"	"294"	"294"	"1"	"0"
"3213"	"4"	"1"	"10"	"1"	"403"	"10"	"8"	"3"	"35"	"18"	"16"	"6"	"2"	"3"	"111"	"0"	"5"	"6"	"10"	"0"	"4"	"1"	"1"	"8"	"33"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"6"	"5"	"0"	"300"	"300"	"1"	"0"
"3214"	"4"	"1"	"10"	"2"	"400"	"16"	"4"	"1"	"29"	"17"	"14"	"3"	"4"	"2"	"117"	"0"	"2"	"5"	"6"	"0"	"3"	"0"	"1"	"4"	"29"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"10"	"0"	"0"	"275"	"275"	"1"	"0"
"3215"	"4"	"1"	"10"	"1"	"400"	"9"	"6"	"4"	"22"	"13"	"10"	"6"	"3"	"1"	"105"	"1"	"4"	"2"	"18"	"1"	"6"	"1"	"1"	"5"	"33"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"6"	"5"	"0"	"268"	"268"	"1"	"0"
