"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"PAN"	"UNE"	"FUERZA"	"UNIONISTA"	"CREO"	"ALUX_SOMOS_SAN_LUCAS"	"AVANZA"	"VICTORIA"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4924"	"4"	"2"	"8"	"2"	"400"	"26"	"14"	"28"	"6"	"66"	"12"	"11"	"69"	"36"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"13"	"1"	"0"	"286"	"286"	"1"	"0"
"4925"	"4"	"2"	"8"	"2"	"396"	"29"	"20"	"42"	"12"	"68"	"17"	"4"	"62"	"29"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"17"	"2"	"0"	"308"	"308"	"1"	"0"
"4926"	"4"	"2"	"8"	"2"	"396"	"18"	"13"	"32"	"9"	"73"	"17"	"12"	"60"	"44"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"10"	"4"	"0"	"295"	"295"	"1"	"0"
"4927"	"4"	"2"	"8"	"2"	"400"	"26"	"16"	"34"	"8"	"66"	"11"	"6"	"69"	"46"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"7"	"2"	"2"	"293"	"293"	"1"	"2"
"4928"	"4"	"2"	"8"	"2"	"398"	"19"	"20"	"26"	"10"	"76"	"20"	"8"	"64"	"27"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"13"	"2"	"0"	"292"	"292"	"1"	"0"
"4929"	"4"	"2"	"8"	"2"	"391"	"30"	"15"	"32"	"14"	"60"	"15"	"5"	"57"	"51"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"9"	"3"	"0"	"296"	"296"	"1"	"0"
"4930"	"4"	"2"	"8"	"2"	"400"	"20"	"15"	"28"	"8"	"66"	"18"	"7"	"62"	"40"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"10"	"0"	"0"	"284"	"284"	"1"	"0"
"4931"	"4"	"2"	"8"	"2"	"396"	"19"	"24"	"39"	"8"	"75"	"11"	"6"	"68"	"47"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"17"	"1"	"0"	"320"	"320"	"1"	"0"
"4932"	"4"	"2"	"8"	"2"	"397"	"28"	"25"	"23"	"13"	"78"	"11"	"11"	"59"	"35"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"10"	"3"	"0"	"299"	"299"	"1"	"0"
"4933"	"4"	"2"	"8"	"2"	"400"	"34"	"18"	"34"	"6"	"90"	"22"	"10"	"48"	"41"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"7"	"4"	"0"	"317"	"317"	"1"	"0"
"4934"	"4"	"2"	"8"	"2"	"397"	"33"	"17"	"36"	"10"	"72"	"17"	"5"	"54"	"43"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"8"	"2"	"0"	"299"	"299"	"1"	"0"
"4935"	"4"	"2"	"8"	"2"	"400"	"20"	"14"	"34"	"8"	"77"	"17"	"11"	"59"	"32"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"1"	"0"	"283"	"283"	"1"	"1"
"4936"	"4"	"2"	"8"	"2"	"400"	"37"	"20"	"20"	"11"	"51"	"19"	"11"	"49"	"31"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"6"	"1"	"0"	"261"	"261"	"1"	"0"
