"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FUERZA"	"PC"	"PODEMOS"	"LOY"	"CCEA"	"PHG"	"CREO"	"FCN_NACION"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8326"	"4"	"7"	"13"	"2"	"396"	"40"	"16"	"9"	"40"	"5"	"16"	"103"	"13"	"10"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"7"	"5"	"0"	"316"	"316"	"1"	"0"
"8327"	"4"	"7"	"13"	"2"	"400"	"54"	"15"	"19"	"29"	"6"	"7"	"101"	"26"	"2"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"9"	"3"	"0"	"341"	"341"	"1"	"0"
"8328"	"4"	"7"	"13"	"2"	"396"	"54"	"9"	"10"	"29"	"4"	"15"	"119"	"28"	"7"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"8"	"5"	"0"	"334"	"334"	"1"	"0"
"8329"	"4"	"7"	"13"	"2"	"400"	"41"	"16"	"12"	"25"	"9"	"17"	"87"	"35"	"10"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"16"	"2"	"0"	"330"	"330"	"1"	"0"
"8330"	"4"	"7"	"13"	"2"	"400"	"42"	"21"	"8"	"31"	"4"	"23"	"102"	"22"	"11"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"13"	"4"	"0"	"339"	"339"	"1"	"0"
"8331"	"4"	"7"	"13"	"2"	"400"	"45"	"8"	"12"	"30"	"2"	"9"	"122"	"8"	"2"	"87"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"14"	"5"	"0"	"344"	"344"	"1"	"0"
"8332"	"4"	"7"	"13"	"2"	"400"	"49"	"20"	"8"	"36"	"1"	"15"	"113"	"17"	"8"	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"339"	"339"	"4"	"4"	"0"	"347"	"347"	"1"	"0"
"8333"	"4"	"7"	"13"	"2"	"400"	"56"	"14"	"19"	"29"	"2"	"18"	"111"	"21"	"10"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"10"	"4"	"0"	"340"	"340"	"1"	"0"
"8334"	"4"	"7"	"13"	"2"	"396"	"45"	"16"	"15"	"33"	"6"	"9"	"89"	"19"	"15"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"15"	"5"	"0"	"332"	"332"	"1"	"0"
"8335"	"4"	"7"	"13"	"2"	"411"	"47"	"22"	"9"	"26"	"4"	"9"	"102"	"23"	"10"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"9"	"4"	"0"	"338"	"338"	"1"	"0"
"8336"	"4"	"7"	"13"	"2"	"400"	"48"	"12"	"15"	"24"	"3"	"15"	"118"	"17"	"3"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"19"	"3"	"0"	"348"	"348"	"1"	"0"
"8337"	"4"	"7"	"13"	"2"	"400"	"47"	"11"	"13"	"37"	"3"	"9"	"110"	"14"	"9"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	"337"	"7"	"1"	"0"	"345"	"345"	"1"	"0"
"8338"	"4"	"7"	"13"	"2"	"400"	"39"	"18"	"13"	"27"	"4"	"27"	"113"	"29"	"14"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"7"	"3"	"0"	"344"	"344"	"1"	"0"
"8339"	"4"	"7"	"13"	"2"	"400"	"55"	"13"	"10"	"33"	"4"	"22"	"112"	"16"	"5"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"16"	"1"	"0"	"339"	"339"	"1"	"0"
"8340"	"4"	"7"	"13"	"2"	"400"	"57"	"18"	"13"	"21"	"3"	"18"	"106"	"18"	"6"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"328"	"3"	"1"	"0"	"332"	"332"	"1"	"0"
"8341"	"4"	"7"	"13"	"2"	"396"	"56"	"6"	"9"	"26"	"6"	"17"	"97"	"16"	"8"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"6"	"2"	"0"	"318"	"318"	"1"	"0"
"8342"	"4"	"7"	"13"	"2"	"400"	"42"	"13"	"10"	"46"	"2"	"22"	"89"	"23"	"12"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"3"	"2"	"0"	"323"	"323"	"1"	"0"
"8343"	"4"	"7"	"13"	"2"	"400"	"41"	"17"	"9"	"39"	"9"	"21"	"79"	"26"	"9"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"5"	"2"	"0"	"317"	"317"	"1"	"0"
"8344"	"4"	"7"	"13"	"2"	"400"	"42"	"22"	"10"	"29"	"8"	"18"	"97"	"18"	"10"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"7"	"2"	"0"	"323"	"323"	"1"	"0"
"8345"	"4"	"7"	"13"	"2"	"396"	"39"	"11"	"14"	"34"	"3"	"23"	"87"	"24"	"9"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"3"	"1"	"0"	"324"	"324"	"1"	"0"
"8346"	"4"	"7"	"13"	"2"	"396"	"41"	"17"	"17"	"26"	"5"	"16"	"98"	"25"	"7"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"9"	"1"	"0"	"315"	"315"	"1"	"0"
"8347"	"4"	"7"	"13"	"2"	"400"	"43"	"17"	"8"	"32"	"5"	"17"	"93"	"31"	"14"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"4"	"3"	"0"	"310"	"310"	"1"	"0"
"8348"	"4"	"7"	"13"	"2"	"400"	"47"	"14"	"12"	"36"	"5"	"22"	"86"	"49"	"12"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"351"	"351"	"3"	"1"	"0"	"355"	"355"	"1"	"0"
"8349"	"4"	"7"	"13"	"2"	"396"	"44"	"20"	"19"	"25"	"6"	"15"	"113"	"17"	"17"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	"337"	"0"	"0"	"0"	"337"	"337"	"1"	"0"
"8350"	"4"	"7"	"13"	"2"	"369"	"56"	"17"	"8"	"29"	"5"	"13"	"92"	"23"	"10"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"4"	"2"	"0"	"326"	"326"	"1"	"0"
"8351"	"4"	"7"	"13"	"2"	"370"	"46"	"19"	"14"	"30"	"2"	"8"	"94"	"17"	"11"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"1"	"3"	"0"	"291"	"291"	"1"	"0"
"8352"	"4"	"7"	"13"	"2"	"380"	"94"	"104"	"10"	"28"	"0"	"14"	"15"	"0"	"2"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"5"	"10"	"0"	"335"	"335"	"1"	"0"
"8353"	"4"	"7"	"13"	"2"	"380"	"64"	"133"	"4"	"33"	"1"	"10"	"17"	"0"	"1"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"341"	"341"	"13"	"4"	"0"	"358"	"358"	"1"	"0"
"8354"	"4"	"7"	"13"	"2"	"380"	"128"	"72"	"8"	"26"	"1"	"16"	"13"	"1"	"1"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"335"	"335"	"15"	"2"	"0"	"352"	"352"	"1"	"0"
"8355"	"4"	"7"	"13"	"2"	"368"	"100"	"76"	"9"	"31"	"1"	"12"	"24"	"1"	"4"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"2"	"2"	"0"	"320"	"320"	"1"	"0"
"8356"	"4"	"7"	"13"	"2"	"367"	"102"	"82"	"17"	"29"	"0"	"15"	"14"	"2"	"1"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"2"	"1"	"0"	"319"	"319"	"1"	"0"
"8357"	"4"	"7"	"13"	"2"	"380"	"117"	"92"	"12"	"29"	"2"	"5"	"18"	"1"	"1"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"9"	"5"	"0"	"345"	"345"	"1"	"0"
"8358"	"4"	"7"	"13"	"2"	"380"	"108"	"92"	"8"	"23"	"0"	"3"	"16"	"2"	"2"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"15"	"5"	"0"	"345"	"345"	"1"	"0"
"8359"	"4"	"7"	"13"	"2"	"380"	"91"	"105"	"6"	"30"	"2"	"1"	"11"	"2"	"1"	"80"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"12"	"8"	"0"	"349"	"349"	"1"	"0"
"8360"	"4"	"7"	"13"	"2"	"380"	"124"	"82"	"6"	"28"	"3"	"2"	"13"	"4"	"1"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"6"	"1"	"0"	"326"	"326"	"1"	"0"
"8361"	"4"	"7"	"13"	"2"	"239"	"61"	"59"	"2"	"10"	"0"	"1"	"18"	"4"	"1"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"0"	"5"	"0"	"205"	"205"	"1"	"0"
"8362"	"4"	"7"	"13"	"2"	"239"	"59"	"59"	"6"	"16"	"2"	"8"	"8"	"3"	"2"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"1"	"1"	"0"	"220"	"220"	"1"	"0"
"8363"	"4"	"7"	"13"	"2"	"380"	"57"	"86"	"3"	"24"	"3"	"10"	"21"	"3"	"3"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"10"	"7"	"0"	"323"	"323"	"1"	"0"
"8364"	"4"	"7"	"13"	"2"	"380"	"63"	"108"	"5"	"24"	"2"	"14"	"11"	"5"	"3"	"87"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"11"	"4"	"0"	"337"	"337"	"1"	"0"
"8365"	"4"	"7"	"13"	"2"	"380"	"64"	"105"	"4"	"29"	"2"	"7"	"18"	"3"	"1"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"20"	"4"	"0"	"321"	"321"	"1"	"0"
"8366"	"4"	"7"	"13"	"2"	"380"	"58"	"81"	"8"	"32"	"1"	"7"	"30"	"0"	"0"	"77"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"7"	"2"	"0"	"303"	"303"	"1"	"0"
"8367"	"4"	"7"	"13"	"2"	"222"	"29"	"51"	"4"	"27"	"4"	"5"	"19"	"1"	"2"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"2"	"2"	"0"	"183"	"183"	"1"	"0"
"8368"	"4"	"7"	"13"	"2"	"222"	"33"	"51"	"4"	"24"	"0"	"5"	"15"	"1"	"2"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"3"	"0"	"0"	"188"	"188"	"1"	"0"
"8369"	"4"	"7"	"13"	"2"	"444"	"24"	"12"	"2"	"11"	"1"	"8"	"85"	"17"	"8"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"8"	"2"	"0"	"201"	"201"	"1"	"0"
"8370"	"4"	"7"	"13"	"2"	"445"	"34"	"16"	"1"	"17"	"1"	"10"	"68"	"17"	"6"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"7"	"4"	"0"	"206"	"206"	"1"	"0"
