"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"FUERZA"	"MAS_UNIDOS"	"EG"	"CREO"	"VAMOS"	"PODEMOS"	"PPT"	"BIEN"	"PHG"	"LIBRE"	"FCN_NACION"	"AVANZA"	"UNE"	"MLP"	"PC"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5310"	"4"	"3"	"3"	"2"	"400"	"2"	"14"	"48"	"45"	"44"	"13"	"12"	"10"	"3"	"11"	"5"	"3"	"2"	"9"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"17"	"6"	"0"	"257"	"257"	"1"	"0"
"5311"	"4"	"3"	"3"	"2"	"400"	"3"	"12"	"49"	"39"	"53"	"5"	"9"	"10"	"6"	"3"	"2"	"5"	"4"	"8"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"15"	"6"	"0"	"246"	"246"	"1"	"0"
"5312"	"4"	"3"	"3"	"2"	"400"	"6"	"9"	"42"	"46"	"39"	"20"	"10"	"5"	"6"	"6"	"3"	"3"	"2"	"16"	"7"	"5"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"16"	"7"	"5"	"0"	"0"	"0"	"0"	"225"	"225"	"19"	"6"	"0"	"250"	"250"	"1"	"0"
"5313"	"4"	"3"	"3"	"2"	"400"	"7"	"14"	"49"	"41"	"29"	"11"	"14"	"16"	"5"	"6"	"3"	"2"	"1"	"15"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"4"	"5"	"0"	"233"	"233"	"1"	"0"
"5314"	"4"	"3"	"3"	"2"	"401"	"3"	"16"	"37"	"34"	"40"	"17"	"8"	"11"	"4"	"7"	"8"	"1"	"3"	"8"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"12"	"10"	"0"	"236"	"236"	"1"	"0"
"5315"	"4"	"3"	"3"	"2"	"400"	"5"	"19"	"43"	"33"	"47"	"18"	"11"	"19"	"5"	"8"	"9"	"3"	"1"	"8"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"16"	"7"	"0"	"268"	"268"	"1"	"0"
"5316"	"4"	"3"	"3"	"2"	"400"	"6"	"26"	"52"	"51"	"39"	"17"	"10"	"6"	"11"	"9"	"7"	"4"	"1"	"11"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"13"	"9"	"0"	"284"	"284"	"1"	"0"
"5317"	"4"	"3"	"3"	"2"	"432"	"4"	"23"	"48"	"31"	"41"	"12"	"13"	"24"	"3"	"15"	"6"	"4"	"1"	"10"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"17"	"8"	"0"	"273"	"273"	"1"	"0"
"5318"	"4"	"3"	"3"	"2"	"400"	"6"	"20"	"54"	"40"	"36"	"11"	"9"	"10"	"9"	"10"	"4"	"5"	"5"	"8"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"11"	"7"	"0"	"257"	"257"	"1"	"0"
"5319"	"4"	"3"	"3"	"2"	"400"	"5"	"12"	"44"	"38"	"42"	"12"	"9"	"14"	"4"	"10"	"6"	"5"	"1"	"9"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"5"	"0"	"250"	"250"	"1"	"0"
"5320"	"4"	"3"	"3"	"2"	"400"	"5"	"15"	"42"	"45"	"45"	"12"	"13"	"11"	"4"	"9"	"9"	"2"	"3"	"14"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"9"	"10"	"0"	"261"	"261"	"1"	"0"
