"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VALOR"	"URNG_MAIZ"	"FCN_NACION"	"EG"	"PODEMOS"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11145"	"4"	"11"	"4"	"2"	"400"	"49"	"123"	"30"	"3"	"5"	"3"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"10"	"6"	"0"	"270"	"270"	"1"	"0"
"11146"	"4"	"11"	"4"	"2"	"397"	"72"	"92"	"38"	"1"	"5"	"6"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"7"	"5"	"0"	"257"	"257"	"1"	"0"
"11147"	"4"	"11"	"4"	"2"	"400"	"73"	"104"	"39"	"5"	"5"	"5"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"7"	"5"	"0"	"285"	"285"	"1"	"0"
"11148"	"4"	"11"	"4"	"2"	"400"	"74"	"100"	"39"	"1"	"6"	"7"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"12"	"2"	"0"	"283"	"283"	"1"	"0"
"11149"	"4"	"11"	"4"	"2"	"400"	"68"	"91"	"29"	"4"	"11"	"10"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"8"	"0"	"272"	"272"	"1"	"0"
"11150"	"4"	"11"	"4"	"2"	"400"	"74"	"107"	"46"	"3"	"11"	"10"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"16"	"5"	"1"	"314"	"314"	"1"	"0"
"11151"	"4"	"11"	"4"	"2"	"397"	"65"	"124"	"43"	"3"	"5"	"8"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"9"	"4"	"0"	"302"	"302"	"1"	"0"
"11152"	"4"	"11"	"4"	"2"	"400"	"75"	"129"	"49"	"5"	"6"	"3"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"12"	"5"	"0"	"316"	"316"	"1"	"0"
"11153"	"4"	"11"	"4"	"2"	"400"	"82"	"116"	"72"	"4"	"5"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"11"	"1"	"1"	"319"	"319"	"1"	"0"
"11154"	"4"	"11"	"4"	"2"	"400"	"95"	"114"	"57"	"3"	"3"	"1"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"12"	"3"	"0"	"316"	"316"	"1"	"1"
