"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"FUERZA"	"UNE"	"UCN"	"TODOS"	"WINAQ"	"VIVA"	"VAMOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13710"	"4"	"13"	"13"	"2"	"400"	"1"	"45"	"37"	"62"	"26"	"94"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"14"	"4"	"0"	"296"	"296"	"1"	"0"
"13711"	"4"	"13"	"13"	"2"	"400"	"4"	"42"	"30"	"115"	"28"	"54"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"2"	"5"	"0"	"302"	"302"	"1"	"0"
"13712"	"4"	"13"	"13"	"2"	"400"	"2"	"35"	"52"	"102"	"41"	"54"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"5"	"2"	"0"	"311"	"311"	"1"	"0"
"13713"	"4"	"13"	"13"	"2"	"400"	"1"	"38"	"48"	"71"	"32"	"56"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"2"	"6"	"0"	"267"	"267"	"1"	"0"
"13714"	"4"	"13"	"13"	"2"	"400"	"1"	"34"	"59"	"63"	"36"	"55"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"5"	"7"	"0"	"272"	"272"	"1"	"0"
"13715"	"4"	"13"	"13"	"2"	"400"	"1"	"29"	"50"	"75"	"31"	"57"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"9"	"10"	"0"	"284"	"284"	"1"	"0"
"13716"	"4"	"13"	"13"	"2"	"303"	"2"	"27"	"27"	"51"	"24"	"41"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"2"	"1"	"0"	"190"	"190"	"1"	"0"
"13717"	"4"	"13"	"13"	"2"	"304"	"2"	"35"	"36"	"67"	"18"	"46"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"1"	"3"	"0"	"216"	"216"	"1"	"0"
"13718"	"4"	"13"	"13"	"2"	"400"	"0"	"50"	"61"	"67"	"15"	"41"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"14"	"7"	"0"	"284"	"284"	"1"	"0"
"13719"	"4"	"13"	"13"	"2"	"400"	"2"	"42"	"45"	"92"	"34"	"70"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"3"	"3"	"0"	"311"	"311"	"1"	"0"
"13720"	"4"	"13"	"13"	"2"	"400"	"0"	"33"	"52"	"77"	"25"	"58"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"4"	"9"	"0"	"279"	"279"	"1"	"0"
