"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VALOR"	"COCIEES"	"CCA"	"COCIEP"	"BIEN"	"PODEMOS"	"MLP"	"FCN_NACION"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15790"	"4"	"15"	"2"	"2"	"400"	"9"	"1"	"2"	"179"	"30"	"12"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"15"	"5"	"0"	"257"	"257"	"1"	"0"
"15791"	"4"	"15"	"2"	"2"	"400"	"20"	"4"	"1"	"196"	"30"	"7"	"5"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"22"	"2"	"0"	"292"	"292"	"1"	"0"
"15792"	"4"	"15"	"2"	"2"	"400"	"14"	"9"	"1"	"238"	"25"	"6"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"26"	"0"	"0"	"331"	"331"	"1"	"0"
"15793"	"4"	"15"	"2"	"2"	"394"	"14"	"2"	"5"	"234"	"45"	"9"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"19"	"1"	"0"	"338"	"338"	"1"	"0"
"15794"	"4"	"15"	"2"	"2"	"400"	"18"	"6"	"0"	"192"	"37"	"10"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"17"	"3"	"0"	"291"	"291"	"1"	"0"
"15795"	"4"	"15"	"2"	"2"	"396"	"23"	"4"	"1"	"195"	"45"	"18"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"19"	"0"	"0"	"310"	"310"	"1"	"0"
"15796"	"4"	"15"	"2"	"2"	"413"	"28"	"3"	"1"	"219"	"50"	"10"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"17"	"2"	"0"	"336"	"336"	"1"	"0"
"15797"	"4"	"15"	"2"	"2"	"400"	"21"	"3"	"6"	"186"	"52"	"13"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"25"	"4"	"0"	"320"	"320"	"1"	"0"
"15798"	"4"	"15"	"2"	"2"	"400"	"14"	"3"	"5"	"219"	"44"	"10"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"16"	"5"	"0"	"327"	"327"	"1"	"0"
"15799"	"4"	"15"	"2"	"2"	"400"	"14"	"3"	"5"	"196"	"45"	"11"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"1"	"14"	"0"	"306"	"306"	"1"	"0"
