"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"FCN_NACION"	"LIBRE"	"FUERZA"	"SEMILLA"	"VICTORIA"	"UCN"	"UNE"	"VAMOS"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11716"	"4"	"12"	"5"	"2"	"400"	"159"	"106"	"3"	"0"	"1"	"0"	"0"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"18"	"1"	"0"	"303"	"303"	"1"	"0"
"11717"	"4"	"12"	"5"	"2"	"400"	"144"	"128"	"10"	"3"	"0"	"1"	"0"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"16"	"10"	"0"	"329"	"329"	"1"	"0"
"11718"	"4"	"12"	"5"	"2"	"400"	"160"	"119"	"6"	"0"	"0"	"0"	"0"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"22"	"6"	"0"	"329"	"329"	"1"	"0"
"11719"	"4"	"12"	"5"	"2"	"400"	"184"	"94"	"3"	"1"	"0"	"1"	"0"	"8"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"302"	"13"	"9"	"0"	"324"	"324"	"0"	"0"
"11720"	"4"	"12"	"5"	"2"	"400"	"174"	"80"	"5"	"3"	"1"	"1"	"2"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"27"	"9"	"1"	"318"	"318"	"1"	"0"
"11721"	"4"	"12"	"5"	"2"	"400"	"140"	"83"	"8"	"15"	"0"	"0"	"1"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"16"	"4"	"0"	"284"	"284"	"1"	"0"
"11722"	"4"	"12"	"5"	"2"	"400"	"142"	"91"	"8"	"3"	"0"	"1"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"14"	"11"	"0"	"279"	"279"	"1"	"0"
"11723"	"4"	"12"	"5"	"2"	"400"	"125"	"113"	"12"	"2"	"1"	"0"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"21"	"10"	"0"	"297"	"297"	"1"	"0"
"11724"	"4"	"12"	"5"	"2"	"400"	"138"	"115"	"4"	"1"	"2"	"0"	"0"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"11"	"5"	"0"	"290"	"290"	"1"	"1"
"11725"	"4"	"12"	"5"	"2"	"400"	"130"	"113"	"5"	"2"	"0"	"0"	"3"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"4"	"0"	"283"	"283"	"1"	"0"
