"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"VICTORIA"	"WINAQ"	"PC"	"PODEMOS"	"VAMOS"	"VALOR"	"FUERZA"	"LIBRE"	"CREO"	"TODOS"	"SEMILLA"	"PPT"	"FCN_NACION"	"UCN"	"UNIONISTA"	"URNG_MAIZ"	"CONVERGENCIA"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16790"	"4"	"16"	"9"	"2"	"400"	"37"	"59"	"58"	"5"	"29"	"17"	"5"	"9"	"6"	"3"	"13"	"5"	"1"	"1"	"3"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"14"	"3"	"0"	"273"	"273"	"1"	"0"
"16791"	"4"	"16"	"9"	"2"	"400"	"36"	"75"	"57"	"7"	"29"	"9"	"4"	"4"	"3"	"4"	"10"	"3"	"3"	"1"	"9"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"12"	"6"	"0"	"276"	"276"	"1"	"0"
"16792"	"4"	"16"	"9"	"2"	"400"	"44"	"74"	"40"	"8"	"28"	"10"	"5"	"9"	"1"	"3"	"19"	"5"	"0"	"1"	"6"	"4"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"3"	"0"	"277"	"277"	"1"	"0"
"16793"	"4"	"16"	"9"	"2"	"400"	"45"	"85"	"40"	"7"	"26"	"9"	"12"	"8"	"3"	"4"	"20"	"11"	"0"	"0"	"2"	"3"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"11"	"2"	"0"	"293"	"293"	"1"	"0"
"16794"	"4"	"16"	"9"	"2"	"400"	"41"	"68"	"62"	"6"	"25"	"10"	"9"	"3"	"0"	"0"	"19"	"6"	"3"	"2"	"4"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"8"	"4"	"0"	"277"	"277"	"1"	"0"
"16795"	"4"	"16"	"9"	"2"	"400"	"32"	"72"	"54"	"5"	"33"	"9"	"5"	"7"	"3"	"2"	"14"	"6"	"0"	"3"	"2"	"1"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"1"	"2"	"0"	"257"	"257"	"1"	"0"
"16796"	"4"	"16"	"9"	"2"	"400"	"25"	"75"	"50"	"5"	"37"	"8"	"8"	"3"	"3"	"1"	"11"	"7"	"1"	"2"	"2"	"2"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"5"	"0"	"263"	"263"	"1"	"0"
"16797"	"4"	"16"	"9"	"2"	"400"	"23"	"87"	"38"	"4"	"30"	"20"	"4"	"7"	"3"	"3"	"19"	"10"	"0"	"2"	"2"	"4"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"13"	"3"	"0"	"278"	"278"	"1"	"0"
"16798"	"4"	"16"	"9"	"2"	"400"	"28"	"87"	"50"	"10"	"24"	"14"	"4"	"3"	"3"	"2"	"17"	"5"	"2"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"10"	"7"	"0"	"274"	"274"	"1"	"0"
"16799"	"4"	"16"	"9"	"2"	"400"	"36"	"88"	"45"	"10"	"33"	"16"	"7"	"4"	"9"	"2"	"17"	"9"	"1"	"3"	"4"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"14"	"1"	"0"	"305"	"305"	"1"	"0"
"16800"	"4"	"16"	"9"	"2"	"400"	"35"	"71"	"42"	"4"	"32"	"16"	"10"	"8"	"5"	"2"	"17"	"4"	"0"	"2"	"4"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"14"	"4"	"0"	"274"	"274"	"1"	"0"
"16801"	"4"	"16"	"9"	"2"	"400"	"48"	"82"	"39"	"8"	"41"	"9"	"6"	"2"	"7"	"5"	"11"	"8"	"0"	"0"	"4"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"8"	"1"	"0"	"282"	"282"	"1"	"0"
"16802"	"4"	"16"	"9"	"2"	"400"	"28"	"65"	"38"	"13"	"33"	"20"	"3"	"6"	"2"	"9"	"14"	"8"	"2"	"1"	"4"	"2"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"5"	"2"	"0"	"260"	"260"	"1"	"0"
"16803"	"4"	"16"	"9"	"2"	"400"	"31"	"61"	"40"	"3"	"30"	"13"	"8"	"5"	"2"	"2"	"19"	"5"	"1"	"1"	"3"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"17"	"3"	"20"	"248"	"248"	"1"	"0"
"16804"	"4"	"16"	"9"	"2"	"395"	"45"	"79"	"40"	"2"	"33"	"16"	"6"	"4"	"5"	"2"	"14"	"8"	"0"	"3"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"3"	"1"	"0"	"268"	"268"	"1"	"0"
"16805"	"4"	"16"	"9"	"2"	"211"	"23"	"54"	"26"	"4"	"20"	"6"	"1"	"2"	"1"	"1"	"8"	"6"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"0"	"2"	"0"	"158"	"158"	"1"	"0"
"16806"	"4"	"16"	"9"	"2"	"210"	"13"	"37"	"28"	"7"	"12"	"10"	"1"	"1"	"0"	"0"	"3"	"5"	"0"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"2"	"1"	"0"	"127"	"127"	"1"	"0"
"16807"	"4"	"16"	"9"	"2"	"400"	"33"	"31"	"93"	"5"	"21"	"12"	"2"	"10"	"1"	"3"	"5"	"1"	"0"	"1"	"8"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"32"	"7"	"0"	"271"	"271"	"1"	"0"
"16808"	"4"	"16"	"9"	"2"	"400"	"33"	"19"	"99"	"12"	"13"	"15"	"1"	"8"	"3"	"1"	"1"	"4"	"0"	"0"	"13"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"38"	"6"	"0"	"269"	"269"	"1"	"0"
"16809"	"4"	"16"	"9"	"2"	"400"	"43"	"29"	"104"	"6"	"13"	"21"	"6"	"7"	"2"	"2"	"5"	"1"	"2"	"4"	"7"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"28"	"5"	"0"	"289"	"289"	"1"	"0"
"16810"	"4"	"16"	"9"	"2"	"400"	"39"	"38"	"103"	"4"	"20"	"14"	"7"	"5"	"1"	"6"	"4"	"1"	"1"	"1"	"9"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"19"	"3"	"22"	"276"	"276"	"1"	"0"
