"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNIONISTA"	"TODOS"	"BIEN"	"EG"	"MLP"	"FCN_NACION"	"VAMOS"	"VALOR"	"CREO"	"PODEMOS"	"SEMILLA"	"UNE"	"VIVA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11081"	"4"	"11"	"2"	"2"	"400"	"83"	"42"	"22"	"2"	"5"	"41"	"0"	"61"	"5"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"18"	"6"	"0"	"296"	"296"	"1"	"0"
"11082"	"4"	"11"	"2"	"2"	"400"	"59"	"50"	"31"	"2"	"8"	"35"	"5"	"55"	"4"	"9"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"12"	"6"	"0"	"285"	"285"	"1"	"0"
"11083"	"4"	"11"	"2"	"2"	"400"	"70"	"42"	"19"	"3"	"3"	"49"	"3"	"60"	"5"	"7"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"17"	"8"	"0"	"296"	"296"	"1"	"0"
"11084"	"4"	"11"	"2"	"2"	"400"	"72"	"55"	"22"	"1"	"5"	"42"	"1"	"66"	"5"	"10"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"11"	"4"	"0"	"299"	"299"	"1"	"0"
"11085"	"4"	"11"	"2"	"2"	"400"	"66"	"35"	"28"	"2"	"12"	"48"	"2"	"75"	"3"	"8"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"18"	"3"	"0"	"307"	"307"	"1"	"0"
"11086"	"4"	"11"	"2"	"2"	"400"	"64"	"51"	"31"	"1"	"9"	"44"	"3"	"68"	"5"	"4"	"2"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"14"	"7"	"0"	"310"	"310"	"1"	"0"
"11087"	"4"	"11"	"2"	"2"	"400"	"67"	"55"	"37"	"1"	"5"	"34"	"2"	"77"	"4"	"2"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"25"	"3"	"0"	"320"	"320"	"1"	"0"
"11088"	"4"	"11"	"2"	"2"	"400"	"72"	"43"	"28"	"3"	"10"	"58"	"3"	"79"	"1"	"8"	"5"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"16"	"6"	"0"	"339"	"339"	"1"	"0"
"11089"	"4"	"11"	"2"	"2"	"400"	"98"	"32"	"30"	"1"	"4"	"34"	"3"	"86"	"9"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"7"	"6"	"0"	"316"	"316"	"1"	"0"
"11090"	"4"	"11"	"2"	"2"	"400"	"137"	"33"	"16"	"1"	"11"	"28"	"2"	"64"	"8"	"9"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"12"	"4"	"0"	"337"	"337"	"1"	"0"
"11091"	"4"	"11"	"2"	"2"	"400"	"93"	"41"	"30"	"2"	"9"	"15"	"1"	"94"	"6"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"19"	"6"	"0"	"328"	"328"	"1"	"0"
"11092"	"4"	"11"	"2"	"2"	"400"	"79"	"23"	"48"	"5"	"18"	"35"	"2"	"70"	"13"	"8"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"13"	"4"	"0"	"324"	"324"	"1"	"0"
"11093"	"4"	"11"	"2"	"2"	"400"	"72"	"39"	"37"	"0"	"5"	"32"	"2"	"70"	"12"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"5"	"2"	"0"	"284"	"284"	"1"	"0"
"11094"	"4"	"11"	"2"	"2"	"400"	"68"	"37"	"30"	"0"	"11"	"35"	"1"	"66"	"4"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"3"	"0"	"0"	"263"	"263"	"1"	"0"
