"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"VAMOS"	"UNIONISTA"	"FCN_NACION"	"BIEN"	"PODEMOS"	"PC"	"LIBRE"	"SEMILLA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7124"	"4"	"5"	"12"	"2"	"400"	"122"	"2"	"69"	"4"	"8"	"22"	"25"	"39"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"13"	"5"	"0"	"315"	"315"	"1"	"0"
"7125"	"4"	"5"	"12"	"2"	"400"	"96"	"6"	"74"	"5"	"11"	"23"	"33"	"36"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"10"	"9"	"0"	"310"	"310"	"1"	"0"
"7126"	"4"	"5"	"12"	"2"	"400"	"103"	"3"	"77"	"6"	"12"	"21"	"33"	"40"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"18"	"5"	"0"	"326"	"326"	"1"	"0"
"7127"	"4"	"5"	"12"	"2"	"400"	"101"	"6"	"79"	"3"	"5"	"32"	"31"	"29"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"16"	"2"	"0"	"312"	"312"	"1"	"0"
"7128"	"4"	"5"	"12"	"2"	"400"	"115"	"3"	"87"	"4"	"8"	"22"	"24"	"37"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"14"	"6"	"0"	"321"	"321"	"1"	"0"
"7129"	"4"	"5"	"12"	"2"	"400"	"116"	"1"	"85"	"6"	"9"	"24"	"30"	"37"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"8"	"7"	"0"	"331"	"331"	"1"	"0"
"7130"	"4"	"5"	"12"	"2"	"400"	"101"	"6"	"97"	"1"	"6"	"29"	"29"	"43"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"12"	"3"	"0"	"330"	"330"	"1"	"0"
"7131"	"4"	"5"	"12"	"2"	"400"	"126"	"4"	"61"	"5"	"7"	"30"	"33"	"47"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"12"	"7"	"0"	"339"	"339"	"1"	"0"
"7132"	"4"	"5"	"12"	"2"	"400"	"112"	"2"	"77"	"2"	"8"	"44"	"26"	"45"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"10"	"4"	"0"	"337"	"337"	"1"	"0"
"7133"	"4"	"5"	"12"	"2"	"400"	"99"	"6"	"104"	"2"	"6"	"38"	"33"	"16"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"14"	"8"	"0"	"328"	"328"	"1"	"0"
"7134"	"4"	"5"	"12"	"2"	"400"	"106"	"5"	"94"	"5"	"5"	"27"	"32"	"21"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"8"	"9"	"0"	"319"	"319"	"1"	"0"
"7135"	"4"	"5"	"12"	"2"	"400"	"82"	"2"	"83"	"1"	"8"	"29"	"33"	"45"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"8"	"2"	"0"	"295"	"295"	"1"	"0"
"7136"	"4"	"5"	"12"	"2"	"400"	"103"	"6"	"71"	"9"	"12"	"14"	"31"	"38"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"16"	"6"	"0"	"309"	"309"	"1"	"0"
"7137"	"4"	"5"	"12"	"2"	"400"	"91"	"2"	"74"	"1"	"8"	"27"	"28"	"39"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"6"	"6"	"1"	"290"	"290"	"1"	"0"
"7138"	"4"	"5"	"12"	"2"	"400"	"99"	"5"	"78"	"4"	"5"	"27"	"35"	"39"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"7"	"3"	"0"	"308"	"308"	"1"	"0"
"7139"	"4"	"5"	"12"	"2"	"400"	"107"	"3"	"77"	"7"	"10"	"29"	"30"	"32"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"0"	"5"	"7"	"304"	"304"	"1"	"0"
"7140"	"4"	"5"	"12"	"2"	"400"	"103"	"3"	"87"	"3"	"11"	"20"	"41"	"33"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"13"	"5"	"0"	"323"	"323"	"1"	"0"
"7141"	"4"	"5"	"12"	"2"	"400"	"92"	"4"	"88"	"2"	"5"	"28"	"30"	"38"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"12"	"6"	"1"	"309"	"309"	"1"	"0"
