"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CABRA"	"CREO"	"BIEN"	"WINAQ"	"FUERZA"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"VIVA"	"UNIDOS"	"UNIONISTA"	"URNG_MAIZ"	"VAMOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17987"	"4"	"17"	"10"	"2"	"400"	"57"	"38"	"5"	"3"	"6"	"11"	"0"	"39"	"20"	"3"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"14"	"4"	"0"	"206"	"206"	"1"	"0"
"17988"	"4"	"17"	"10"	"2"	"399"	"49"	"65"	"5"	"3"	"7"	"11"	"1"	"34"	"9"	"5"	"3"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"8"	"7"	"0"	"224"	"224"	"1"	"0"
"17989"	"4"	"17"	"10"	"2"	"400"	"51"	"50"	"3"	"2"	"7"	"14"	"2"	"43"	"15"	"0"	"8"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"6"	"2"	"0"	"221"	"221"	"1"	"0"
"17990"	"4"	"17"	"10"	"2"	"400"	"51"	"42"	"8"	"2"	"2"	"18"	"2"	"53"	"23"	"2"	"6"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"14"	"3"	"17"	"237"	"237"	"1"	"0"
"17991"	"4"	"17"	"10"	"2"	"400"	"58"	"47"	"6"	"2"	"10"	"13"	"2"	"49"	"18"	"0"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"5"	"11"	"0"	"232"	"232"	"1"	"0"
"17992"	"4"	"17"	"10"	"2"	"397"	"66"	"51"	"10"	"1"	"12"	"8"	"1"	"39"	"8"	"0"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"14"	"4"	"0"	"223"	"223"	"1"	"0"
"17993"	"4"	"17"	"10"	"2"	"400"	"81"	"53"	"9"	"3"	"8"	"9"	"3"	"41"	"15"	"1"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"5"	"0"	"245"	"245"	"1"	"0"
"17994"	"4"	"17"	"10"	"2"	"400"	"72"	"62"	"5"	"1"	"11"	"13"	"1"	"36"	"14"	"1"	"2"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"10"	"4"	"0"	"242"	"242"	"1"	"0"
"17995"	"4"	"17"	"10"	"2"	"400"	"71"	"59"	"5"	"1"	"5"	"14"	"0"	"37"	"11"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"18"	"5"	"0"	"232"	"232"	"1"	"0"
"17996"	"4"	"17"	"10"	"2"	"400"	"52"	"37"	"7"	"3"	"4"	"13"	"0"	"46"	"16"	"2"	"5"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"13"	"1"	"0"	"206"	"206"	"1"	"0"
