"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"CONVERGENCIA"	"BIEN"	"UNE"	"CREO"	"LIBRE"	"PHG"	"VIVA"	"WINAQ_URNG"	"UCN"	"UNIDOS"	"VAMOS"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11964"	"4"	"12"	"8"	"2"	"400"	"7"	"13"	"59"	"44"	"25"	"12"	"39"	"1"	"59"	"2"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"4"	"4"	"0"	"276"	"276"	"1"	"0"
"11965"	"4"	"12"	"8"	"2"	"400"	"6"	"7"	"57"	"45"	"21"	"17"	"42"	"2"	"54"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"17"	"6"	"0"	"282"	"282"	"1"	"0"
"11966"	"4"	"12"	"8"	"2"	"400"	"3"	"5"	"90"	"38"	"17"	"10"	"56"	"1"	"58"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"11"	"11"	"0"	"306"	"306"	"1"	"1"
"11967"	"4"	"12"	"8"	"2"	"400"	"7"	"5"	"75"	"89"	"15"	"11"	"46"	"0"	"50"	"2"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"11"	"6"	"0"	"326"	"326"	"1"	"0"
"11968"	"4"	"12"	"8"	"2"	"400"	"5"	"5"	"75"	"53"	"18"	"5"	"42"	"0"	"68"	"1"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"7"	"4"	"0"	"295"	"295"	"1"	"0"
"11969"	"4"	"12"	"8"	"2"	"400"	"6"	"5"	"144"	"18"	"6"	"2"	"66"	"4"	"44"	"2"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"4"	"16"	"0"	"327"	"327"	"1"	"0"
"11970"	"4"	"12"	"8"	"2"	"400"	"9"	"4"	"84"	"53"	"25"	"6"	"70"	"2"	"51"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"7"	"8"	"0"	"328"	"328"	"1"	"0"
"11971"	"4"	"12"	"8"	"2"	"400"	"12"	"3"	"34"	"58"	"62"	"7"	"59"	"4"	"54"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"7"	"15"	"0"	"318"	"318"	"1"	"0"
"11972"	"4"	"12"	"8"	"2"	"400"	"18"	"0"	"62"	"20"	"34"	"13"	"88"	"0"	"33"	"1"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"2"	"10"	"0"	"308"	"308"	"1"	"0"
"11973"	"4"	"12"	"8"	"2"	"400"	"3"	"4"	"54"	"39"	"13"	"12"	"43"	"1"	"37"	"2"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"0"	"0"	"0"	"216"	"216"	"1"	"0"
