"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"FCN_NACION"	"VAMOS"	"TODOS"	"FUERZA"	"UNE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12768"	"4"	"12"	"26"	"1"	"400"	"82"	"88"	"16"	"14"	"26"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"29"	"8"	"0"	"268"	"268"	"1"	"0"
"12769"	"4"	"12"	"26"	"1"	"400"	"83"	"120"	"10"	"5"	"40"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"17"	"5"	"0"	"285"	"285"	"1"	"0"
"12770"	"4"	"12"	"26"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12771"	"4"	"12"	"26"	"2"	"400"	"98"	"90"	"21"	"14"	"39"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"26"	"13"	"0"	"307"	"307"	"1"	"0"
"12772"	"4"	"12"	"26"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12773"	"4"	"12"	"26"	"2"	"0"	"90"	"86"	"5"	"11"	"23"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"35"	"8"	"0"	"263"	"263"	"1"	"0"
"12774"	"4"	"12"	"26"	"1"	"400"	"126"	"122"	"5"	"2"	"38"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"22"	"6"	"0"	"327"	"327"	"1"	"1"
"12775"	"4"	"12"	"26"	"2"	"400"	"92"	"84"	"15"	"4"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"8"	"6"	"0"	"234"	"234"	"1"	"0"
"12776"	"4"	"12"	"26"	"1"	"400"	"92"	"97"	"13"	"14"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"0"	"0"	"252"	"252"	"1"	"0"
"12777"	"4"	"12"	"26"	"1"	"397"	"79"	"79"	"7"	"9"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"5"	"8"	"0"	"213"	"213"	"1"	"2"
