"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"FUERZA"	"NUEVO_AMANECER_SUMPANGO"	"CCSS"	"PC"	"VAMOS"	"MLP"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4810"	"4"	"2"	"4"	"2"	"400"	"5"	"16"	"14"	"60"	"97"	"55"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"10"	"3"	"0"	"275"	"275"	"1"	"0"
"4811"	"4"	"2"	"4"	"2"	"399"	"6"	"16"	"14"	"49"	"81"	"51"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"9"	"5"	"0"	"241"	"241"	"1"	"0"
"4812"	"4"	"2"	"4"	"2"	"400"	"11"	"25"	"12"	"50"	"79"	"52"	"8"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"7"	"0"	"263"	"263"	"1"	"0"
"4813"	"4"	"2"	"4"	"2"	"400"	"5"	"20"	"16"	"60"	"79"	"41"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"11"	"7"	"0"	"256"	"256"	"1"	"0"
"4814"	"4"	"2"	"4"	"2"	"400"	"5"	"14"	"19"	"64"	"88"	"37"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"3"	"3"	"0"	"246"	"246"	"1"	"0"
"4815"	"4"	"2"	"4"	"2"	"400"	"13"	"15"	"20"	"56"	"91"	"44"	"7"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"4"	"0"	"274"	"274"	"1"	"0"
"4816"	"4"	"2"	"4"	"2"	"400"	"8"	"21"	"21"	"54"	"88"	"35"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"9"	"6"	"143"	"257"	"257"	"1"	"0"
"4817"	"4"	"2"	"4"	"2"	"400"	"9"	"20"	"15"	"48"	"87"	"47"	"10"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"9"	"7"	"0"	"266"	"266"	"1"	"0"
"4818"	"4"	"2"	"4"	"2"	"400"	"3"	"12"	"15"	"68"	"75"	"61"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"9"	"10"	"0"	"260"	"260"	"1"	"0"
"4819"	"4"	"2"	"4"	"2"	"402"	"8"	"21"	"16"	"63"	"78"	"45"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"2"	"0"	"255"	"255"	"1"	"0"
