"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"VAMOS"	"PC"	"FUERZA"	"CREO"	"VALOR"	"PPT"	"VICTORIA"	"PODEMOS"	"MLP"	"UCN"	"URNG_MAIZ"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16479"	"4"	"16"	"4"	"2"	"400"	"91"	"26"	"8"	"104"	"4"	"1"	"14"	"0"	"2"	"6"	"5"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"18"	"7"	"0"	"297"	"297"	"1"	"0"
"16480"	"4"	"16"	"4"	"2"	"396"	"143"	"39"	"7"	"90"	"2"	"2"	"7"	"1"	"0"	"5"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"14"	"3"	"0"	"326"	"326"	"1"	"0"
"16481"	"4"	"16"	"4"	"2"	"401"	"115"	"33"	"10"	"102"	"1"	"2"	"9"	"3"	"2"	"1"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"15"	"5"	"0"	"315"	"315"	"1"	"0"
"16482"	"4"	"16"	"4"	"2"	"400"	"128"	"32"	"9"	"125"	"0"	"1"	"6"	"2"	"3"	"0"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"13"	"5"	"0"	"338"	"338"	"1"	"0"
"16483"	"4"	"16"	"4"	"2"	"400"	"111"	"41"	"4"	"118"	"2"	"0"	"8"	"3"	"2"	"1"	"10"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"16"	"5"	"0"	"335"	"335"	"1"	"0"
"16484"	"4"	"16"	"4"	"2"	"400"	"100"	"49"	"6"	"116"	"2"	"1"	"5"	"0"	"5"	"2"	"2"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"18"	"5"	"0"	"326"	"326"	"1"	"2"
"16485"	"4"	"16"	"4"	"2"	"400"	"122"	"43"	"6"	"95"	"3"	"6"	"2"	"5"	"3"	"5"	"2"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"18"	"8"	"1"	"328"	"328"	"1"	"0"
"16486"	"4"	"16"	"4"	"2"	"397"	"93"	"52"	"5"	"119"	"1"	"2"	"7"	"0"	"0"	"2"	"1"	"34"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"17"	"5"	"0"	"340"	"340"	"1"	"0"
"16487"	"4"	"16"	"4"	"2"	"400"	"98"	"55"	"3"	"104"	"3"	"5"	"6"	"1"	"1"	"6"	"5"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"14"	"4"	"0"	"331"	"331"	"1"	"1"
"16488"	"4"	"16"	"4"	"2"	"400"	"82"	"61"	"6"	"135"	"0"	"2"	"7"	"3"	"2"	"3"	"3"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"14"	"5"	"0"	"333"	"333"	"1"	"0"
"16489"	"4"	"16"	"4"	"2"	"400"	"80"	"62"	"7"	"127"	"2"	"3"	"5"	"3"	"1"	"5"	"5"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"18"	"6"	"0"	"336"	"336"	"1"	"0"
"16490"	"4"	"16"	"4"	"2"	"400"	"103"	"23"	"3"	"148"	"0"	"3"	"14"	"1"	"2"	"1"	"10"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"12"	"6"	"0"	"337"	"337"	"1"	"0"
