"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"UCN"	"URNG_MAIZ"	"BIEN"	"VIVA"	"TODOS"	"FCN_NACION"	"SEMILLA"	"VALOR"	"LIBRE"	"PC"	"PODEMOS"	"FUERZA"	"VAMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16526"	"4"	"16"	"5"	"2"	"400"	"3"	"24"	"68"	"0"	"3"	"5"	"60"	"4"	"4"	"108"	"6"	"1"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"11"	"8"	"0"	"316"	"316"	"1"	"0"
"16527"	"4"	"16"	"5"	"2"	"400"	"2"	"31"	"82"	"0"	"0"	"4"	"77"	"5"	"3"	"117"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"7"	"2"	"0"	"336"	"336"	"1"	"0"
"16528"	"4"	"16"	"5"	"2"	"400"	"1"	"36"	"89"	"1"	"1"	"5"	"68"	"6"	"6"	"97"	"4"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"10"	"8"	"0"	"336"	"336"	"1"	"0"
"16529"	"4"	"16"	"5"	"2"	"400"	"4"	"29"	"64"	"1"	"2"	"7"	"85"	"8"	"3"	"124"	"5"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"336"	"336"	"5"	"5"	"0"	"346"	"346"	"1"	"0"
"16530"	"4"	"16"	"5"	"2"	"400"	"3"	"24"	"110"	"0"	"0"	"2"	"82"	"8"	"3"	"108"	"2"	"0"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"351"	"351"	"6"	"3"	"0"	"360"	"360"	"1"	"0"
"16531"	"4"	"16"	"5"	"2"	"400"	"2"	"35"	"72"	"0"	"0"	"1"	"70"	"6"	"3"	"112"	"5"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"8"	"4"	"0"	"324"	"324"	"1"	"0"
"16532"	"4"	"16"	"5"	"2"	"400"	"3"	"15"	"66"	"0"	"1"	"8"	"62"	"8"	"4"	"107"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"1"	"2"	"0"	"280"	"280"	"1"	"0"
"16533"	"4"	"16"	"5"	"2"	"400"	"9"	"18"	"49"	"0"	"0"	"7"	"64"	"8"	"3"	"104"	"2"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"3"	"0"	"282"	"282"	"1"	"0"
"16534"	"4"	"16"	"5"	"2"	"381"	"1"	"24"	"72"	"1"	"0"	"3"	"68"	"6"	"4"	"96"	"3"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"1"	"0"	"0"	"284"	"284"	"1"	"0"
"16535"	"4"	"16"	"5"	"2"	"386"	"2"	"27"	"85"	"0"	"2"	"5"	"57"	"8"	"2"	"100"	"1"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"2"	"3"	"0"	"299"	"299"	"1"	"0"
"16536"	"4"	"16"	"5"	"2"	"380"	"3"	"52"	"55"	"0"	"5"	"4"	"96"	"27"	"0"	"71"	"1"	"0"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"8"	"2"	"0"	"335"	"335"	"1"	"0"
"16537"	"4"	"16"	"5"	"2"	"376"	"3"	"61"	"68"	"0"	"0"	"6"	"82"	"19"	"0"	"75"	"0"	"1"	"2"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"16"	"5"	"0"	"348"	"348"	"1"	"0"
"16538"	"4"	"16"	"5"	"2"	"380"	"3"	"64"	"81"	"0"	"2"	"5"	"83"	"28"	"0"	"59"	"0"	"0"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"335"	"335"	"12"	"4"	"0"	"351"	"351"	"1"	"0"
