"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"MLP"	"TUC"	"WINAQ"	"PHG"	"SEMILLA"	"PAN"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7654"	"4"	"6"	"9"	"2"	"400"	"74"	"69"	"4"	"62"	"1"	"8"	"4"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"18"	"4"	"0"	"254"	"254"	"1"	"0"
"7655"	"4"	"6"	"9"	"2"	"396"	"88"	"64"	"5"	"58"	"3"	"6"	"5"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"3"	"0"	"255"	"255"	"1"	"0"
"7656"	"4"	"6"	"9"	"2"	"400"	"89"	"79"	"7"	"58"	"1"	"11"	"4"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"14"	"3"	"0"	"274"	"274"	"1"	"2"
"7657"	"4"	"6"	"9"	"2"	"396"	"94"	"88"	"0"	"53"	"1"	"8"	"5"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"4"	"0"	"274"	"274"	"1"	"0"
"7658"	"4"	"6"	"9"	"2"	"396"	"91"	"105"	"4"	"40"	"2"	"6"	"3"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"17"	"3"	"0"	"287"	"287"	"1"	"0"
"7659"	"4"	"6"	"9"	"2"	"400"	"81"	"88"	"0"	"50"	"4"	"13"	"4"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"22"	"4"	"0"	"283"	"283"	"1"	"0"
"7660"	"4"	"6"	"9"	"2"	"396"	"95"	"83"	"1"	"53"	"3"	"8"	"2"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"13"	"2"	"0"	"275"	"275"	"1"	"0"
"7661"	"4"	"6"	"9"	"2"	"400"	"91"	"81"	"3"	"62"	"0"	"11"	"1"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"16"	"4"	"0"	"282"	"282"	"1"	"0"
"7662"	"4"	"6"	"9"	"2"	"398"	"97"	"104"	"3"	"52"	"1"	"10"	"2"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"18"	"2"	"0"	"304"	"304"	"1"	"0"
"7663"	"4"	"6"	"9"	"2"	"400"	"107"	"86"	"1"	"73"	"1"	"9"	"5"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"7"	"1"	"2"	"300"	"300"	"1"	"0"
"7664"	"4"	"6"	"9"	"2"	"400"	"86"	"87"	"1"	"64"	"0"	"9"	"3"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"4"	"3"	"0"	"270"	"270"	"1"	"0"
"7665"	"4"	"6"	"9"	"2"	"400"	"81"	"81"	"1"	"49"	"3"	"6"	"3"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"0"	"0"	"248"	"248"	"1"	"0"
"7666"	"4"	"6"	"9"	"2"	"396"	"88"	"86"	"1"	"45"	"3"	"7"	"6"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"4"	"0"	"264"	"264"	"1"	"0"
"7667"	"4"	"6"	"9"	"2"	"396"	"86"	"83"	"1"	"55"	"2"	"8"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"6"	"3"	"0"	"252"	"252"	"1"	"0"
"7668"	"4"	"6"	"9"	"2"	"400"	"92"	"85"	"0"	"54"	"3"	"6"	"4"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"0"	"0"	"260"	"260"	"1"	"0"
"7669"	"4"	"6"	"9"	"2"	"396"	"99"	"70"	"4"	"58"	"1"	"10"	"3"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"11"	"2"	"0"	"265"	"265"	"1"	"0"
"7670"	"4"	"6"	"9"	"2"	"396"	"99"	"78"	"1"	"50"	"2"	"7"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"2"	"0"	"261"	"261"	"1"	"0"
"7671"	"4"	"6"	"9"	"2"	"400"	"70"	"85"	"2"	"54"	"0"	"13"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"13"	"4"	"1"	"252"	"252"	"1"	"0"
"7672"	"4"	"6"	"9"	"2"	"396"	"69"	"87"	"2"	"53"	"1"	"4"	"3"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"7"	"5"	"0"	"241"	"241"	"1"	"0"
"7673"	"4"	"6"	"9"	"2"	"381"	"69"	"96"	"2"	"32"	"1"	"9"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"11"	"3"	"0"	"231"	"231"	"1"	"0"
"7674"	"4"	"6"	"9"	"2"	"399"	"94"	"78"	"0"	"45"	"0"	"8"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"9"	"5"	"0"	"250"	"250"	"1"	"0"
"7675"	"4"	"6"	"9"	"2"	"396"	"82"	"109"	"0"	"70"	"2"	"9"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"3"	"1"	"0"	"290"	"290"	"1"	"0"
"7676"	"4"	"6"	"9"	"2"	"400"	"101"	"118"	"3"	"68"	"2"	"11"	"5"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"2"	"1"	"0"	"319"	"319"	"1"	"0"
"7677"	"4"	"6"	"9"	"2"	"239"	"74"	"65"	"1"	"34"	"0"	"5"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"3"	"1"	"0"	"189"	"189"	"1"	"0"
