"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UCN"	"FCN_NACION"	"UNE"	"MLP"	"PC"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19025"	"4"	"19"	"5"	"2"	"400"	"127"	"22"	"64"	"13"	"4"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"10"	"0"	"278"	"278"	"1"	"0"
"19026"	"4"	"19"	"5"	"2"	"400"	"152"	"25"	"62"	"13"	"13"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"19"	"2"	"0"	"307"	"307"	"1"	"0"
"19027"	"4"	"19"	"5"	"2"	"400"	"127"	"22"	"84"	"10"	"4"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"7"	"4"	"0"	"286"	"286"	"1"	"0"
"19028"	"4"	"19"	"5"	"2"	"400"	"137"	"29"	"69"	"5"	"8"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"14"	"2"	"0"	"293"	"293"	"1"	"0"
"19029"	"4"	"19"	"5"	"2"	"400"	"155"	"20"	"64"	"6"	"5"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"16"	"3"	"0"	"304"	"304"	"1"	"0"
"19030"	"4"	"19"	"5"	"2"	"400"	"155"	"21"	"77"	"7"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"23"	"5"	"0"	"322"	"322"	"1"	"0"
"19031"	"4"	"19"	"5"	"2"	"400"	"166"	"32"	"55"	"7"	"5"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"13"	"7"	"0"	"313"	"313"	"1"	"0"
"19032"	"4"	"19"	"5"	"2"	"400"	"163"	"25"	"65"	"5"	"9"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"10"	"2"	"0"	"302"	"302"	"1"	"0"
"19033"	"4"	"19"	"5"	"2"	"400"	"138"	"18"	"87"	"2"	"4"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"6"	"5"	"0"	"291"	"291"	"1"	"1"
"19034"	"4"	"19"	"5"	"2"	"400"	"131"	"27"	"62"	"10"	"2"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"1"	"0"	"266"	"266"	"1"	"0"
"19035"	"4"	"19"	"5"	"2"	"400"	"140"	"23"	"76"	"10"	"2"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"7"	"6"	"0"	"291"	"291"	"1"	"0"
"19036"	"4"	"19"	"5"	"2"	"400"	"123"	"25"	"63"	"5"	"3"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"8"	"5"	"0"	"269"	"269"	"1"	"0"
"19037"	"4"	"19"	"5"	"2"	"400"	"131"	"24"	"74"	"3"	"3"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"4"	"0"	"273"	"273"	"1"	"0"
"19038"	"4"	"19"	"5"	"2"	"400"	"151"	"21"	"70"	"4"	"3"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"10"	"0"	"0"	"280"	"280"	"1"	"0"
"19039"	"4"	"19"	"5"	"2"	"401"	"158"	"25"	"68"	"6"	"2"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"9"	"1"	"0"	"295"	"295"	"1"	"0"
"19040"	"4"	"19"	"5"	"2"	"400"	"151"	"26"	"63"	"7"	"2"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"11"	"1"	"0"	"291"	"291"	"1"	"3"
"19041"	"4"	"19"	"5"	"2"	"400"	"139"	"24"	"59"	"8"	"5"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"18"	"1"	"0"	"284"	"284"	"1"	"0"
"19042"	"4"	"19"	"5"	"2"	"400"	"143"	"28"	"74"	"5"	"3"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"4"	"2"	"0"	"285"	"285"	"1"	"0"
"19043"	"4"	"19"	"5"	"2"	"332"	"127"	"27"	"56"	"4"	"1"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"3"	"1"	"0"	"248"	"248"	"1"	"0"
