"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UCN"	"VAMOS"	"PODEMOS"	"FCN_NACION"	"UNE"	"LIBRE"	"VIVA"	"VICTORIA"	"PPT"	"EG"	"TODOS"	"SEMILLA"	"MLP"	"PC"	"PHG"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6754"	"4"	"5"	"6"	"2"	"400"	"34"	"54"	"13"	"1"	"12"	"26"	"8"	"13"	"18"	"2"	"23"	"3"	"16"	"5"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"18"	"4"	"0"	"267"	"267"	"1"	"0"
"6755"	"4"	"5"	"6"	"2"	"349"	"32"	"43"	"21"	"4"	"10"	"35"	"3"	"11"	"25"	"0"	"19"	"7"	"9"	"2"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"4"	"136"	"264"	"264"	"1"	"0"
"6756"	"4"	"5"	"6"	"2"	"396"	"39"	"49"	"12"	"1"	"10"	"33"	"2"	"12"	"28"	"2"	"16"	"9"	"13"	"3"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"6"	"0"	"271"	"271"	"1"	"0"
"6757"	"4"	"5"	"6"	"2"	"400"	"34"	"49"	"10"	"2"	"8"	"25"	"1"	"13"	"24"	"1"	"18"	"6"	"12"	"5"	"33"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"13"	"4"	"0"	"263"	"263"	"1"	"0"
"6758"	"4"	"5"	"6"	"2"	"397"	"27"	"43"	"10"	"1"	"10"	"28"	"2"	"11"	"28"	"1"	"27"	"3"	"14"	"3"	"29"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"9"	"3"	"0"	"254"	"254"	"1"	"0"
"6759"	"4"	"5"	"6"	"2"	"396"	"36"	"32"	"16"	"1"	"17"	"28"	"0"	"19"	"21"	"1"	"21"	"5"	"19"	"2"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"225"	"13"	"2"	"0"	"264"	"240"	"0"	"0"
"6760"	"4"	"5"	"6"	"2"	"400"	"33"	"50"	"18"	"2"	"7"	"20"	"1"	"18"	"23"	"0"	"21"	"8"	"13"	"8"	"30"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"11"	"4"	"0"	"275"	"275"	"1"	"0"
"6761"	"4"	"5"	"6"	"2"	"400"	"20"	"50"	"23"	"1"	"14"	"37"	"1"	"5"	"28"	"0"	"24"	"14"	"9"	"5"	"28"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"16"	"2"	"0"	"281"	"281"	"1"	"0"
"6762"	"4"	"5"	"6"	"2"	"400"	"31"	"50"	"16"	"2"	"12"	"27"	"5"	"8"	"27"	"1"	"25"	"6"	"12"	"6"	"20"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"256"	"22"	"4"	"0"	"282"	"282"	"0"	"0"
"6763"	"4"	"5"	"6"	"2"	"396"	"47"	"56"	"15"	"4"	"12"	"32"	"3"	"20"	"17"	"0"	"22"	"5"	"7"	"1"	"25"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"13"	"2"	"0"	"290"	"290"	"1"	"0"
