"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"FUERZA"	"EG"	"UNIONISTA"	"BIEN"	"VICTORIA"	"URNG_MAIZ"	"LIBRE"	"WINAQ"	"VIVA"	"PAN"	"SEMILLA"	"PPT"	"PHG"	"UCN"	"CONVERGENCIA"	"AVANZA"	"UNE"	"VALOR"	"UNIDOS"	"PODEMOS"	"CREO"	"PC"	"MLP"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3757"	"4"	"1"	"15"	"2"	"400"	"37"	"28"	"27"	"3"	"16"	"6"	"4"	"1"	"8"	"10"	"7"	"10"	"3"	"0"	"20"	"6"	"1"	"3"	"17"	"10"	"1"	"1"	"5"	"17"	"8"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"0"	"0"	"261"	"261"	"1"	"0"
"3758"	"4"	"1"	"15"	"1"	"400"	"40"	"13"	"18"	"0"	"14"	"9"	"2"	"2"	"11"	"4"	"9"	"7"	"3"	"0"	"0"	"6"	"1"	"1"	"31"	"7"	"9"	"7"	"3"	"0"	"0"	"6"	"1"	"1"	"31"	"7"	"235"	"211"	"7"	"3"	"1"	"245"	"221"	"0"	"0"
"3759"	"4"	"1"	"15"	"1"	"398"	"55"	"21"	"19"	"3"	"26"	"7"	"2"	"1"	"4"	"4"	"7"	"12"	"11"	"0"	"15"	"6"	"0"	"5"	"18"	"2"	"1"	"0"	"2"	"20"	"9"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"13"	"3"	"0"	"266"	"266"	"1"	"0"
"3760"	"4"	"1"	"15"	"2"	"411"	"50"	"16"	"29"	"1"	"26"	"10"	"7"	"1"	"3"	"0"	"11"	"12"	"4"	"0"	"8"	"5"	"1"	"3"	"23"	"9"	"0"	"0"	"2"	"19"	"16"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"11"	"1"	"0"	"268"	"268"	"1"	"0"
"3761"	"4"	"1"	"15"	"2"	"400"	"52"	"27"	"18"	"4"	"26"	"12"	"8"	"0"	"7"	"1"	"5"	"3"	"3"	"0"	"12"	"4"	"0"	"1"	"9"	"9"	"1"	"1"	"6"	"27"	"13"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"17"	"1"	"0"	"267"	"267"	"1"	"0"
"3762"	"4"	"1"	"15"	"2"	"401"	"55"	"24"	"25"	"1"	"19"	"4"	"4"	"3"	"10"	"5"	"10"	"8"	"2"	"1"	"18"	"1"	"0"	"1"	"17"	"9"	"0"	"0"	"1"	"24"	"10"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"15"	"4"	"0"	"271"	"271"	"1"	"0"
"3763"	"4"	"1"	"15"	"2"	"400"	"50"	"31"	"18"	"1"	"22"	"11"	"5"	"3"	"5"	"5"	"5"	"10"	"1"	"3"	"20"	"5"	"2"	"7"	"23"	"3"	"0"	"0"	"3"	"22"	"9"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"9"	"3"	"0"	"276"	"276"	"1"	"0"
"3764"	"4"	"1"	"15"	"2"	"412"	"44"	"26"	"21"	"5"	"18"	"5"	"1"	"3"	"9"	"8"	"9"	"8"	"5"	"0"	"16"	"7"	"1"	"2"	"20"	"6"	"0"	"0"	"3"	"25"	"13"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"10"	"2"	"0"	"267"	"267"	"1"	"0"
"3765"	"4"	"1"	"15"	"2"	"400"	"49"	"36"	"16"	"1"	"17"	"2"	"3"	"5"	"8"	"8"	"11"	"16"	"3"	"1"	"18"	"2"	"1"	"3"	"18"	"7"	"0"	"1"	"2"	"25"	"6"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"7"	"1"	"0"	"267"	"267"	"1"	"0"
"3766"	"4"	"1"	"15"	"2"	"396"	"45"	"18"	"17"	"3"	"28"	"7"	"2"	"1"	"6"	"5"	"9"	"5"	"4"	"1"	"16"	"1"	"0"	"9"	"16"	"8"	"1"	"0"	"3"	"17"	"9"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"7"	"0"	"0"	"238"	"238"	"1"	"0"
