"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"ZARAGOZA_POR_SIEMPRE"	"PC"	"FUERZA"	"VIVA"	"PODEMOS"	"VICTORIA"	"FCN_NACION"	"TODOS"	"UNE"	"VALOR"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5880"	"4"	"3"	"15"	"2"	"400"	"113"	"74"	"6"	"13"	"26"	"4"	"6"	"5"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"3"	"2"	"0"	"278"	"278"	"1"	"0"
"5881"	"4"	"3"	"15"	"2"	"400"	"88"	"62"	"10"	"16"	"39"	"4"	"9"	"11"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"10"	"2"	"0"	"267"	"267"	"1"	"0"
"5882"	"4"	"3"	"15"	"2"	"396"	"105"	"74"	"5"	"18"	"40"	"2"	"4"	"4"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"15"	"0"	"0"	"290"	"290"	"1"	"0"
"5883"	"4"	"3"	"15"	"2"	"401"	"92"	"59"	"10"	"14"	"35"	"7"	"7"	"4"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"21"	"1"	"0"	"270"	"270"	"1"	"0"
"5884"	"4"	"3"	"15"	"2"	"400"	"82"	"69"	"9"	"13"	"34"	"4"	"11"	"4"	"21"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"9"	"10"	"0"	"269"	"269"	"1"	"0"
"5885"	"4"	"3"	"15"	"2"	"400"	"80"	"75"	"2"	"19"	"41"	"2"	"7"	"7"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"14"	"2"	"0"	"271"	"271"	"1"	"0"
"5886"	"4"	"3"	"15"	"2"	"400"	"72"	"87"	"5"	"12"	"38"	"3"	"3"	"2"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"11"	"5"	"0"	"263"	"263"	"1"	"0"
"5887"	"4"	"3"	"15"	"2"	"397"	"72"	"81"	"9"	"18"	"31"	"4"	"6"	"8"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"18"	"7"	"0"	"268"	"268"	"1"	"0"
"5888"	"4"	"3"	"15"	"2"	"399"	"83"	"85"	"10"	"8"	"38"	"4"	"8"	"12"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"13"	"2"	"0"	"276"	"276"	"1"	"0"
"5889"	"4"	"3"	"15"	"2"	"400"	"53"	"61"	"9"	"11"	"46"	"1"	"5"	"34"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"10"	"1"	"0"	"241"	"241"	"1"	"0"
"5890"	"4"	"3"	"15"	"2"	"399"	"60"	"56"	"14"	"9"	"58"	"7"	"4"	"25"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"2"	"0"	"262"	"262"	"1"	"0"
"5891"	"4"	"3"	"15"	"2"	"400"	"95"	"75"	"7"	"21"	"43"	"5"	"4"	"9"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"1"	"3"	"0"	"280"	"280"	"1"	"0"
"5892"	"4"	"3"	"15"	"2"	"400"	"85"	"53"	"12"	"35"	"36"	"8"	"9"	"1"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"11"	"2"	"0"	"273"	"273"	"1"	"0"
"5893"	"4"	"3"	"15"	"2"	"396"	"74"	"63"	"10"	"28"	"40"	"0"	"5"	"23"	"12"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"11"	"5"	"0"	"279"	"279"	"1"	"0"
"5894"	"4"	"3"	"15"	"2"	"400"	"52"	"60"	"14"	"5"	"51"	"3"	"6"	"17"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"14"	"5"	"0"	"246"	"246"	"1"	"0"
"5895"	"4"	"3"	"15"	"2"	"400"	"81"	"65"	"7"	"18"	"42"	"1"	"3"	"5"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"6"	"3"	"0"	"248"	"248"	"1"	"0"
"5896"	"4"	"3"	"15"	"2"	"400"	"81"	"60"	"4"	"15"	"50"	"3"	"3"	"5"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"2"	"1"	"0"	"239"	"239"	"1"	"0"
"5897"	"4"	"3"	"15"	"2"	"400"	"75"	"61"	"5"	"28"	"42"	"2"	"5"	"4"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"7"	"3"	"0"	"246"	"246"	"1"	"0"
"5898"	"4"	"3"	"15"	"2"	"396"	"94"	"58"	"11"	"18"	"39"	"4"	"8"	"6"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"2"	"0"	"260"	"260"	"1"	"0"
"5899"	"4"	"3"	"15"	"2"	"400"	"81"	"70"	"6"	"22"	"33"	"6"	"5"	"7"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"5"	"3"	"0"	"259"	"259"	"1"	"0"
"5900"	"4"	"3"	"15"	"2"	"400"	"80"	"75"	"7"	"13"	"40"	"6"	"6"	"8"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"10"	"2"	"0"	"259"	"259"	"1"	"0"
"5901"	"4"	"3"	"15"	"2"	"400"	"81"	"79"	"12"	"15"	"44"	"2"	"5"	"4"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"8"	"2"	"0"	"272"	"272"	"1"	"0"
"5902"	"4"	"3"	"15"	"2"	"400"	"82"	"54"	"10"	"13"	"36"	"2"	"6"	"3"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"11"	"4"	"0"	"240"	"240"	"1"	"0"
"5903"	"4"	"3"	"15"	"2"	"400"	"93"	"81"	"5"	"18"	"32"	"3"	"5"	"9"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"5"	"0"	"0"	"272"	"272"	"1"	"0"
"5904"	"4"	"3"	"15"	"2"	"396"	"94"	"94"	"10"	"15"	"39"	"4"	"4"	"5"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"3"	"1"	"0"	"282"	"282"	"1"	"0"
"5905"	"4"	"3"	"15"	"2"	"254"	"80"	"53"	"6"	"10"	"37"	"3"	"3"	"5"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"1"	"0"	"0"	"206"	"206"	"1"	"0"
"5906"	"4"	"3"	"15"	"2"	"249"	"55"	"34"	"5"	"12"	"24"	"2"	"6"	"2"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"2"	"0"	"0"	"152"	"152"	"1"	"0"
"5907"	"4"	"3"	"15"	"2"	"380"	"41"	"73"	"2"	"18"	"18"	"3"	"1"	"1"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"20"	"3"	"0"	"197"	"197"	"1"	"0"
"5908"	"4"	"3"	"15"	"2"	"363"	"44"	"59"	"1"	"18"	"27"	"2"	"6"	"2"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"11"	"8"	"0"	"192"	"192"	"1"	"0"
"5909"	"4"	"3"	"15"	"2"	"363"	"33"	"73"	"5"	"17"	"23"	"2"	"3"	"2"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"4"	"1"	"0"	"179"	"179"	"1"	"0"
"5910"	"4"	"3"	"15"	"2"	"451"	"39"	"26"	"4"	"15"	"18"	"3"	"7"	"9"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"3"	"3"	"0"	"135"	"135"	"1"	"0"
"5911"	"4"	"3"	"15"	"2"	"457"	"38"	"24"	"4"	"2"	"24"	"0"	"6"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"2"	"1"	"0"	"111"	"111"	"1"	"0"
