"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"VAMOS"	"FCN_NACION"	"MLP"	"TODOS"	"WINAQ"	"UNE"	"PC"	"VALOR"	"UCN"	"PODEMOS"	"BIEN"	"VIVA"	"SEMILLA"	"UNIDOS"	"CONVERGENCIA"	"PPT"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"EG"	"PAN"	"FUERZA"	"URNG_MAIZ"	"PHG"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16109"	"3"	"16"	"1"	"2"	"398"	"8"	"13"	"6"	"6"	"7"	"13"	"20"	"4"	"76"	"4"	"6"	"9"	"5"	"5"	"0"	"2"	"0"	"4"	"1"	"3"	"0"	"7"	"3"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"41"	"26"	"0"	"275"	"275"	"1"	"0"
"16110"	"3"	"16"	"1"	"2"	"400"	"11"	"5"	"4"	"1"	"10"	"3"	"25"	"8"	"71"	"3"	"16"	"6"	"4"	"7"	"0"	"2"	"4"	"9"	"3"	"3"	"1"	"1"	"2"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"33"	"27"	"0"	"273"	"273"	"1"	"0"
"16111"	"3"	"16"	"1"	"2"	"400"	"13"	"7"	"12"	"4"	"7"	"3"	"15"	"6"	"70"	"3"	"17"	"4"	"5"	"8"	"1"	"0"	"0"	"7"	"8"	"0"	"1"	"4"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"40"	"29"	"128"	"272"	"272"	"1"	"0"
"16112"	"3"	"16"	"1"	"2"	"400"	"15"	"7"	"2"	"0"	"5"	"3"	"15"	"4"	"69"	"2"	"10"	"8"	"8"	"4"	"1"	"1"	"1"	"2"	"5"	"6"	"0"	"3"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"37"	"38"	"0"	"255"	"255"	"1"	"0"
"16113"	"3"	"16"	"1"	"2"	"400"	"9"	"15"	"5"	"4"	"6"	"6"	"21"	"7"	"63"	"4"	"11"	"11"	"4"	"2"	"1"	"0"	"0"	"1"	"4"	"4"	"0"	"8"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"44"	"35"	"0"	"273"	"273"	"1"	"0"
"16114"	"3"	"16"	"1"	"2"	"400"	"10"	"6"	"8"	"8"	"11"	"6"	"29"	"3"	"61"	"2"	"8"	"6"	"12"	"5"	"2"	"3"	"4"	"8"	"1"	"0"	"1"	"5"	"1"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"49"	"26"	"0"	"284"	"284"	"1"	"1"
"16115"	"3"	"16"	"1"	"2"	"400"	"15"	"19"	"6"	"5"	"3"	"7"	"18"	"6"	"66"	"2"	"11"	"11"	"9"	"4"	"0"	"2"	"4"	"5"	"0"	"0"	"1"	"3"	"2"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"34"	"24"	"0"	"269"	"269"	"1"	"0"
"16116"	"3"	"16"	"1"	"2"	"400"	"10"	"14"	"10"	"2"	"10"	"9"	"9"	"5"	"67"	"3"	"13"	"9"	"10"	"5"	"0"	"1"	"2"	"5"	"2"	"2"	"1"	"7"	"2"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"265"	"205"	"35"	"25"	"0"	"265"	"265"	"0"	"0"
"16117"	"3"	"16"	"1"	"2"	"400"	"10"	"13"	"11"	"4"	"11"	"13"	"16"	"8"	"77"	"3"	"13"	"7"	"5"	"5"	"1"	"0"	"3"	"4"	"1"	"1"	"2"	"3"	"1"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"53"	"20"	"0"	"294"	"294"	"1"	"2"
"16118"	"3"	"16"	"1"	"2"	"398"	"15"	"18"	"4"	"2"	"8"	"6"	"12"	"5"	"75"	"2"	"11"	"9"	"8"	"10"	"3"	"1"	"1"	"4"	"2"	"2"	"4"	"4"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"214"	"212"	"54"	"26"	"104"	"294"	"292"	"0"	"0"
"16119"	"3"	"16"	"1"	"2"	"400"	"19"	"11"	"8"	"0"	"6"	"7"	"14"	"8"	"64"	"5"	"15"	"10"	"15"	"8"	"0"	"2"	"3"	"10"	"3"	"2"	"3"	"11"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"30"	"22"	"52"	"282"	"282"	"1"	"0"
"16120"	"3"	"16"	"1"	"2"	"400"	"16"	"11"	"6"	"3"	"3"	"5"	"21"	"2"	"56"	"2"	"28"	"8"	"11"	"8"	"2"	"0"	"3"	"4"	"4"	"4"	"1"	"4"	"1"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"43"	"26"	"0"	"282"	"282"	"1"	"0"
