"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"VAMOS"	"TODOS"	"VALOR"	"URNG_MAIZ"	"PHG"	"BIEN"	"UNIDOS"	"WINAQ"	"FCN_NACION"	"MLP"	"PODEMOS"	"UCN"	"SEMILLA"	"UNIONISTA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15699"	"3"	"15"	"1"	"2"	"400"	"2"	"36"	"31"	"22"	"36"	"3"	"9"	"34"	"2"	"5"	"19"	"11"	"19"	"2"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"18"	"5"	"0"	"273"	"273"	"1"	"0"
"15700"	"3"	"15"	"1"	"2"	"400"	"0"	"33"	"28"	"23"	"21"	"7"	"7"	"26"	"1"	"6"	"19"	"10"	"18"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"23"	"13"	"0"	"250"	"250"	"1"	"0"
"15701"	"3"	"15"	"1"	"2"	"400"	"4"	"39"	"19"	"35"	"27"	"13"	"4"	"19"	"0"	"6"	"20"	"5"	"11"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"24"	"21"	"0"	"264"	"264"	"1"	"0"
"15702"	"3"	"15"	"1"	"2"	"400"	"2"	"26"	"27"	"19"	"47"	"10"	"7"	"24"	"0"	"8"	"21"	"11"	"12"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"22"	"13"	"0"	"265"	"265"	"1"	"0"
"15703"	"3"	"15"	"1"	"2"	"400"	"2"	"39"	"32"	"22"	"27"	"7"	"6"	"15"	"2"	"8"	"20"	"10"	"21"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"19"	"10"	"0"	"259"	"259"	"1"	"0"
"15704"	"3"	"15"	"1"	"2"	"400"	"4"	"40"	"29"	"24"	"29"	"3"	"3"	"31"	"0"	"8"	"15"	"17"	"16"	"2"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"27"	"17"	"0"	"280"	"280"	"1"	"0"
"15705"	"3"	"15"	"1"	"2"	"400"	"2"	"41"	"28"	"20"	"41"	"4"	"9"	"25"	"1"	"6"	"21"	"10"	"17"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"38"	"11"	"0"	"295"	"295"	"1"	"0"
"15706"	"3"	"15"	"1"	"2"	"400"	"3"	"46"	"33"	"22"	"28"	"8"	"11"	"25"	"0"	"6"	"18"	"10"	"22"	"0"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"26"	"8"	"0"	"283"	"283"	"1"	"0"
"15707"	"3"	"15"	"1"	"2"	"400"	"2"	"32"	"30"	"19"	"43"	"12"	"8"	"29"	"1"	"10"	"13"	"6"	"11"	"4"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"16"	"15"	"0"	"268"	"268"	"1"	"0"
"15708"	"3"	"15"	"1"	"2"	"400"	"2"	"36"	"35"	"27"	"32"	"15"	"5"	"23"	"2"	"3"	"18"	"12"	"17"	"2"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"15"	"14"	"0"	"279"	"279"	"1"	"0"
"15709"	"3"	"15"	"1"	"2"	"400"	"2"	"31"	"35"	"21"	"27"	"15"	"8"	"32"	"2"	"4"	"14"	"8"	"16"	"4"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"26"	"13"	"0"	"278"	"278"	"1"	"0"
"15710"	"3"	"15"	"1"	"2"	"400"	"2"	"40"	"33"	"26"	"32"	"9"	"7"	"26"	"2"	"6"	"16"	"7"	"15"	"0"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"20"	"10"	"0"	"268"	"268"	"1"	"0"
"15711"	"3"	"15"	"1"	"2"	"400"	"0"	"26"	"23"	"20"	"43"	"5"	"5"	"35"	"2"	"4"	"14"	"2"	"16"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"211"	"20"	"8"	"0"	"240"	"239"	"0"	"0"
"15712"	"3"	"15"	"1"	"2"	"400"	"1"	"23"	"19"	"13"	"36"	"4"	"7"	"26"	"0"	"5"	"20"	"10"	"9"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"19"	"3"	"0"	"212"	"212"	"1"	"0"
