"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"TODOS"	"UCN"	"PAN"	"PODEMOS"	"CREO"	"VALOR"	"VICTORIA"	"PC"	"SEMILLA"	"VIVA"	"BIEN"	"LIBRE"	"CONVERGENCIA"	"UNIONISTA"	"PPT"	"FUERZA"	"MLP"	"EG"	"FCN_NACION"	"AVANZA"	"UNIDOS"	"URNG_MAIZ"	"PHG"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6251"	"3"	"5"	"1"	"2"	"397"	"12"	"26"	"9"	"11"	"9"	"8"	"5"	"11"	"4"	"18"	"0"	"10"	"7"	"28"	"10"	"0"	"1"	"1"	"3"	"5"	"1"	"7"	"1"	"1"	"9"	"17"	"0"	"0"	"0"	"0"	"214"	"214"	"29"	"8"	"146"	"251"	"251"	"1"	"0"
"6252"	"3"	"5"	"1"	"2"	"407"	"12"	"33"	"9"	"13"	"7"	"7"	"5"	"11"	"2"	"24"	"4"	"12"	"10"	"31"	"9"	"3"	"1"	"1"	"3"	"8"	"1"	"8"	"0"	"1"	"12"	"13"	"0"	"0"	"0"	"0"	"240"	"240"	"22"	"3"	"0"	"265"	"265"	"1"	"0"
"6253"	"3"	"5"	"1"	"2"	"400"	"18"	"32"	"10"	"12"	"6"	"8"	"3"	"15"	"2"	"6"	"2"	"8"	"11"	"36"	"9"	"1"	"2"	"2"	"3"	"7"	"1"	"6"	"2"	"0"	"13"	"10"	"0"	"0"	"0"	"0"	"225"	"225"	"22"	"6"	"0"	"253"	"253"	"1"	"0"
"6254"	"3"	"5"	"1"	"2"	"400"	"12"	"27"	"12"	"18"	"6"	"9"	"3"	"9"	"2"	"18"	"2"	"10"	"12"	"25"	"12"	"4"	"1"	"1"	"0"	"4"	"2"	"7"	"1"	"3"	"8"	"16"	"0"	"0"	"0"	"0"	"224"	"224"	"25"	"5"	"0"	"254"	"254"	"1"	"0"
"6255"	"3"	"5"	"1"	"2"	"400"	"17"	"28"	"8"	"12"	"9"	"11"	"5"	"13"	"7"	"10"	"4"	"12"	"10"	"22"	"6"	"0"	"2"	"0"	"1"	"7"	"1"	"9"	"1"	"4"	"11"	"13"	"0"	"0"	"0"	"0"	"223"	"223"	"37"	"1"	"0"	"261"	"261"	"1"	"0"
"6256"	"3"	"5"	"1"	"2"	"400"	"8"	"30"	"6"	"12"	"7"	"10"	"5"	"8"	"4"	"19"	"1"	"20"	"9"	"23"	"5"	"2"	"3"	"1"	"0"	"8"	"1"	"20"	"9"	"23"	"5"	"2"	"3"	"1"	"0"	"8"	"219"	"199"	"31"	"4"	"0"	"254"	"234"	"0"	"0"
"6257"	"3"	"5"	"1"	"2"	"400"	"19"	"30"	"14"	"17"	"8"	"8"	"5"	"20"	"5"	"14"	"1"	"24"	"6"	"28"	"17"	"0"	"1"	"0"	"1"	"4"	"3"	"8"	"0"	"2"	"5"	"12"	"0"	"0"	"0"	"0"	"252"	"252"	"15"	"4"	"0"	"271"	"271"	"1"	"0"
"6258"	"3"	"5"	"1"	"2"	"399"	"13"	"35"	"5"	"11"	"8"	"4"	"4"	"6"	"6"	"5"	"1"	"13"	"7"	"37"	"10"	"0"	"2"	"1"	"0"	"11"	"4"	"7"	"0"	"0"	"13"	"9"	"0"	"0"	"0"	"0"	"230"	"212"	"21"	"3"	"0"	"257"	"236"	"0"	"0"
"6259"	"3"	"5"	"1"	"2"	"400"	"17"	"34"	"7"	"6"	"5"	"12"	"4"	"11"	"5"	"9"	"1"	"12"	"9"	"36"	"9"	"1"	"3"	"0"	"1"	"4"	"11"	"7"	"0"	"2"	"8"	"18"	"0"	"0"	"0"	"0"	"223"	"232"	"20"	"5"	"0"	"248"	"257"	"0"	"0"
"6260"	"3"	"5"	"1"	"2"	"400"	"11"	"12"	"9"	"17"	"4"	"16"	"3"	"12"	"3"	"7"	"2"	"14"	"10"	"23"	"16"	"2"	"1"	"1"	"5"	"8"	"2"	"7"	"1"	"2"	"12"	"20"	"0"	"0"	"0"	"0"	"220"	"220"	"23"	"7"	"0"	"250"	"250"	"1"	"0"
"6261"	"3"	"5"	"1"	"2"	"400"	"15"	"25"	"17"	"7"	"6"	"13"	"2"	"11"	"5"	"9"	"2"	"13"	"15"	"27"	"8"	"3"	"1"	"3"	"5"	"6"	"6"	"9"	"1"	"1"	"8"	"12"	"0"	"0"	"0"	"0"	"230"	"230"	"22"	"5"	"0"	"257"	"257"	"1"	"0"
"6262"	"3"	"5"	"1"	"2"	"400"	"14"	"26"	"7"	"9"	"6"	"14"	"7"	"10"	"3"	"16"	"3"	"8"	"11"	"26"	"10"	"0"	"0"	"2"	"4"	"2"	"1"	"7"	"0"	"2"	"7"	"10"	"0"	"0"	"0"	"0"	"205"	"205"	"30"	"5"	"0"	"240"	"240"	"1"	"0"
"6263"	"3"	"5"	"1"	"2"	"400"	"14"	"46"	"6"	"8"	"6"	"14"	"5"	"12"	"6"	"9"	"2"	"14"	"9"	"40"	"7"	"0"	"0"	"0"	"0"	"7"	"2"	"13"	"2"	"1"	"12"	"12"	"0"	"0"	"0"	"0"	"247"	"247"	"27"	"4"	"0"	"278"	"278"	"1"	"0"
"6264"	"3"	"5"	"1"	"2"	"400"	"19"	"40"	"7"	"12"	"6"	"12"	"5"	"11"	"5"	"14"	"2"	"12"	"10"	"28"	"2"	"0"	"2"	"1"	"0"	"6"	"3"	"6"	"1"	"2"	"5"	"9"	"0"	"0"	"0"	"0"	"225"	"220"	"29"	"6"	"0"	"260"	"255"	"0"	"0"
"6265"	"3"	"5"	"1"	"2"	"400"	"6"	"30"	"10"	"12"	"12"	"7"	"3"	"14"	"5"	"13"	"1"	"17"	"9"	"26"	"9"	"0"	"0"	"0"	"2"	"2"	"1"	"7"	"0"	"1"	"9"	"20"	"0"	"0"	"0"	"0"	"216"	"216"	"30"	"5"	"0"	"251"	"251"	"1"	"0"
"6266"	"3"	"5"	"1"	"2"	"400"	"7"	"28"	"8"	"13"	"8"	"10"	"7"	"19"	"3"	"20"	"0"	"9"	"7"	"31"	"9"	"0"	"1"	"2"	"4"	"2"	"1"	"10"	"0"	"2"	"7"	"7"	"0"	"0"	"0"	"0"	"215"	"215"	"22"	"5"	"0"	"242"	"242"	"1"	"0"
"6267"	"3"	"5"	"1"	"2"	"400"	"12"	"31"	"5"	"7"	"11"	"10"	"3"	"13"	"2"	"9"	"2"	"7"	"11"	"41"	"9"	"1"	"1"	"0"	"0"	"11"	"3"	"11"	"1"	"2"	"5"	"9"	"0"	"0"	"0"	"0"	"217"	"217"	"17"	"7"	"0"	"241"	"241"	"1"	"0"
"6268"	"3"	"5"	"1"	"2"	"400"	"12"	"20"	"11"	"9"	"10"	"8"	"7"	"7"	"7"	"15"	"1"	"13"	"5"	"23"	"4"	"0"	"1"	"1"	"3"	"5"	"1"	"11"	"1"	"4"	"6"	"17"	"0"	"0"	"0"	"0"	"202"	"202"	"24"	"174"	"0"	"400"	"400"	"1"	"0"
"6269"	"3"	"5"	"1"	"2"	"400"	"15"	"24"	"8"	"7"	"4"	"8"	"4"	"12"	"4"	"19"	"1"	"8"	"10"	"24"	"9"	"1"	"0"	"1"	"2"	"8"	"1"	"8"	"10"	"24"	"9"	"1"	"0"	"1"	"2"	"8"	"189"	"189"	"29"	"9"	"0"	"227"	"227"	"1"	"0"
"6270"	"3"	"5"	"1"	"2"	"400"	"12"	"25"	"11"	"10"	"2"	"10"	"0"	"10"	"3"	"9"	"2"	"7"	"9"	"28"	"7"	"1"	"2"	"0"	"4"	"8"	"2"	"7"	"9"	"28"	"7"	"1"	"2"	"0"	"4"	"8"	"192"	"192"	"11"	"5"	"0"	"208"	"208"	"1"	"0"
"6271"	"3"	"5"	"1"	"2"	"397"	"9"	"24"	"7"	"10"	"5"	"13"	"2"	"11"	"5"	"19"	"2"	"12"	"11"	"21"	"11"	"1"	"1"	"2"	"1"	"5"	"2"	"11"	"0"	"2"	"6"	"14"	"0"	"0"	"0"	"0"	"207"	"207"	"22"	"6"	"0"	"235"	"235"	"1"	"0"
"6272"	"3"	"5"	"1"	"2"	"400"	"14"	"26"	"7"	"12"	"8"	"4"	"3"	"15"	"8"	"17"	"1"	"14"	"14"	"33"	"22"	"1"	"0"	"0"	"5"	"3"	"1"	"11"	"1"	"3"	"4"	"22"	"0"	"0"	"0"	"0"	"249"	"249"	"18"	"5"	"0"	"272"	"272"	"1"	"0"
"6273"	"3"	"5"	"1"	"2"	"299"	"11"	"32"	"5"	"9"	"3"	"18"	"6"	"12"	"7"	"12"	"2"	"8"	"7"	"23"	"15"	"0"	"3"	"0"	"0"	"1"	"0"	"10"	"0"	"1"	"5"	"14"	"0"	"0"	"0"	"0"	"204"	"204"	"17"	"5"	"22"	"226"	"226"	"1"	"0"
"6274"	"3"	"5"	"1"	"2"	"299"	"8"	"19"	"9"	"3"	"7"	"3"	"2"	"1"	"3"	"6"	"0"	"2"	"7"	"10"	"3"	"1"	"0"	"0"	"3"	"3"	"0"	"6"	"2"	"1"	"4"	"3"	"0"	"0"	"0"	"0"	"106"	"106"	"26"	"6"	"0"	"138"	"138"	"1"	"0"
"6275"	"3"	"5"	"1"	"2"	"400"	"11"	"40"	"9"	"14"	"8"	"9"	"5"	"7"	"3"	"9"	"0"	"14"	"8"	"23"	"19"	"2"	"2"	"0"	"3"	"7"	"2"	"9"	"1"	"2"	"13"	"2"	"0"	"0"	"0"	"0"	"237"	"222"	"28"	"7"	"0"	"272"	"257"	"0"	"0"
"6276"	"3"	"5"	"1"	"2"	"398"	"7"	"52"	"5"	"12"	"8"	"10"	"7"	"8"	"4"	"18"	"0"	"15"	"6"	"35"	"3"	"2"	"2"	"1"	"2"	"4"	"2"	"6"	"1"	"2"	"9"	"8"	"0"	"0"	"0"	"0"	"229"	"229"	"31"	"3"	"0"	"263"	"263"	"1"	"0"
"6277"	"3"	"5"	"1"	"2"	"400"	"10"	"46"	"10"	"11"	"9"	"12"	"0"	"8"	"2"	"16"	"2"	"6"	"12"	"30"	"6"	"0"	"1"	"1"	"3"	"8"	"2"	"7"	"0"	"2"	"8"	"18"	"0"	"0"	"0"	"0"	"230"	"230"	"36"	"5"	"0"	"271"	"271"	"1"	"0"
"6278"	"3"	"5"	"1"	"2"	"400"	"9"	"33"	"5"	"13"	"4"	"7"	"2"	"6"	"5"	"12"	"2"	"7"	"9"	"28"	"11"	"0"	"1"	"2"	"1"	"8"	"0"	"8"	"2"	"1"	"9"	"10"	"0"	"0"	"0"	"0"	"195"	"195"	"54"	"3"	"0"	"252"	"252"	"1"	"0"
"6279"	"3"	"5"	"1"	"2"	"400"	"7"	"48"	"7"	"10"	"7"	"10"	"4"	"3"	"4"	"10"	"7"	"6"	"18"	"33"	"10"	"7"	"0"	"1"	"2"	"12"	"1"	"7"	"0"	"0"	"8"	"12"	"0"	"0"	"0"	"0"	"234"	"234"	"21"	"15"	"0"	"270"	"270"	"1"	"0"
"6280"	"3"	"5"	"1"	"2"	"400"	"12"	"38"	"4"	"11"	"7"	"8"	"3"	"9"	"1"	"18"	"1"	"17"	"13"	"30"	"16"	"2"	"1"	"2"	"3"	"6"	"1"	"15"	"0"	"1"	"10"	"10"	"0"	"0"	"0"	"0"	"239"	"239"	"33"	"8"	"0"	"280"	"280"	"1"	"1"
"6281"	"3"	"5"	"1"	"2"	"400"	"15"	"44"	"5"	"14"	"6"	"3"	"0"	"8"	"2"	"12"	"0"	"11"	"7"	"34"	"6"	"2"	"1"	"0"	"1"	"7"	"3"	"9"	"1"	"2"	"7"	"21"	"0"	"0"	"0"	"0"	"221"	"221"	"31"	"8"	"0"	"260"	"260"	"1"	"2"
"6282"	"3"	"5"	"1"	"2"	"401"	"4"	"40"	"5"	"14"	"6"	"4"	"5"	"8"	"3"	"22"	"2"	"7"	"10"	"33"	"17"	"0"	"0"	"0"	"2"	"9"	"2"	"6"	"2"	"3"	"3"	"14"	"0"	"0"	"0"	"0"	"221"	"221"	"53"	"8"	"0"	"282"	"282"	"1"	"0"
"6283"	"3"	"5"	"1"	"2"	"400"	"14"	"36"	"9"	"13"	"8"	"8"	"3"	"11"	"2"	"15"	"0"	"12"	"6"	"36"	"8"	"0"	"0"	"0"	"3"	"5"	"2"	"13"	"1"	"4"	"13"	"15"	"0"	"0"	"0"	"0"	"237"	"237"	"32"	"7"	"0"	"276"	"276"	"1"	"0"
"6284"	"3"	"5"	"1"	"2"	"400"	"15"	"39"	"10"	"21"	"6"	"11"	"2"	"7"	"7"	"13"	"2"	"12"	"9"	"36"	"2"	"0"	"0"	"1"	"1"	"10"	"2"	"7"	"0"	"3"	"14"	"11"	"0"	"0"	"0"	"0"	"248"	"241"	"22"	"0"	"0"	"270"	"263"	"0"	"0"
"6285"	"3"	"5"	"1"	"2"	"400"	"9"	"31"	"7"	"12"	"8"	"13"	"5"	"9"	"2"	"12"	"2"	"10"	"4"	"26"	"12"	"1"	"2"	"4"	"0"	"5"	"3"	"8"	"1"	"1"	"7"	"17"	"0"	"0"	"0"	"0"	"211"	"211"	"26"	"6"	"0"	"243"	"243"	"1"	"0"
"6286"	"3"	"5"	"1"	"2"	"400"	"6"	"19"	"18"	"16"	"6"	"9"	"2"	"10"	"4"	"17"	"0"	"12"	"14"	"33"	"17"	"2"	"1"	"0"	"1"	"3"	"3"	"7"	"2"	"2"	"4"	"12"	"0"	"0"	"0"	"0"	"220"	"220"	"22"	"2"	"0"	"244"	"244"	"1"	"0"
