"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"UCN"	"BIEN"	"VALOR"	"EG"	"FCN_NACION"	"VICTORIA"	"PAN"	"MLP"	"UNE"	"UNIONISTA"	"WINAQ"	"FUERZA"	"SEMILLA"	"URNG_MAIZ"	"CONVERGENCIA"	"PC"	"PHG"	"AVANZA"	"UNIDOS"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19788"	"3"	"21"	"1"	"2"	"397"	"21"	"10"	"47"	"11"	"10"	"0"	"16"	"0"	"5"	"2"	"57"	"5"	"3"	"4"	"13"	"1"	"0"	"0"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"29"	"13"	"0"	"257"	"257"	"1"	"0"
"19789"	"3"	"21"	"1"	"2"	"400"	"21"	"10"	"46"	"15"	"12"	"1"	"12"	"2"	"4"	"2"	"66"	"10"	"0"	"5"	"21"	"3"	"0"	"1"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"18"	"6"	"133"	"267"	"267"	"1"	"0"
"19790"	"3"	"21"	"1"	"2"	"400"	"7"	"5"	"39"	"15"	"5"	"1"	"23"	"3"	"6"	"2"	"69"	"6"	"1"	"7"	"10"	"3"	"1"	"0"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"28"	"17"	"0"	"259"	"259"	"1"	"0"
"19791"	"3"	"21"	"1"	"2"	"400"	"7"	"6"	"48"	"7"	"5"	"1"	"32"	"0"	"3"	"3"	"79"	"2"	"2"	"5"	"13"	"2"	"0"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"24"	"25"	"0"	"271"	"271"	"1"	"0"
"19792"	"3"	"21"	"1"	"2"	"400"	"10"	"5"	"49"	"16"	"13"	"2"	"15"	"5"	"2"	"5"	"69"	"5"	"0"	"1"	"12"	"1"	"1"	"2"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"19"	"15"	"3"	"257"	"257"	"1"	"0"
"19793"	"3"	"21"	"1"	"2"	"400"	"13"	"6"	"52"	"15"	"8"	"0"	"18"	"3"	"3"	"2"	"69"	"4"	"2"	"4"	"14"	"2"	"0"	"0"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"225"	"19"	"22"	"0"	"269"	"266"	"0"	"0"
"19794"	"3"	"21"	"1"	"2"	"400"	"10"	"9"	"48"	"16"	"7"	"1"	"33"	"4"	"3"	"9"	"60"	"4"	"1"	"3"	"10"	"1"	"0"	"2"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"23"	"22"	"21"	"274"	"274"	"1"	"0"
"19795"	"3"	"21"	"1"	"2"	"400"	"13"	"10"	"47"	"15"	"5"	"1"	"19"	"5"	"5"	"1"	"74"	"4"	"1"	"3"	"12"	"3"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"34"	"21"	"0"	"281"	"281"	"1"	"0"
"19796"	"3"	"21"	"1"	"2"	"400"	"14"	"15"	"44"	"11"	"11"	"1"	"25"	"2"	"5"	"2"	"55"	"21"	"4"	"8"	"12"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"234"	"40"	"13"	"0"	"286"	"287"	"0"	"0"
"19797"	"3"	"21"	"1"	"2"	"400"	"16"	"10"	"51"	"14"	"8"	"0"	"13"	"3"	"4"	"2"	"64"	"6"	"0"	"1"	"14"	"3"	"1"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"22"	"11"	"0"	"251"	"251"	"1"	"0"
"19798"	"3"	"21"	"1"	"2"	"399"	"13"	"2"	"42"	"15"	"14"	"1"	"15"	"0"	"0"	"3"	"53"	"3"	"2"	"0"	"18"	"2"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"188"	"15"	"11"	"0"	"188"	"214"	"0"	"0"
"19799"	"3"	"21"	"1"	"2"	"400"	"17"	"7"	"49"	"10"	"6"	"0"	"18"	"3"	"6"	"4"	"55"	"14"	"2"	"3"	"15"	"4"	"0"	"2"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"17"	"14"	"0"	"254"	"254"	"1"	"0"
