"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"UNE"	"FCN_NACION"	"VALOR"	"EG"	"UNIONISTA"	"TODOS"	"WINAQ"	"PAN"	"UCN"	"URNG_MAIZ"	"PC"	"PHG"	"FUERZA"	"SEMILLA"	"VICTORIA"	"LIBRE"	"MLP"	"BIEN"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20232"	"3"	"22"	"1"	"2"	"400"	"26"	"8"	"13"	"9"	"42"	"3"	"15"	"7"	"2"	"5"	"8"	"1"	"8"	"15"	"2"	"4"	"1"	"3"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"198"	"16"	"17"	"0"	"233"	"231"	"0"	"0"
"20233"	"3"	"22"	"1"	"2"	"395"	"29"	"7"	"25"	"12"	"25"	"2"	"13"	"6"	"2"	"6"	"3"	"0"	"12"	"12"	"5"	"2"	"1"	"2"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"26"	"13"	"0"	"225"	"225"	"1"	"0"
"20234"	"3"	"22"	"1"	"2"	"400"	"31"	"4"	"23"	"9"	"31"	"5"	"10"	"4"	"1"	"6"	"4"	"1"	"14"	"12"	"6"	"6"	"0"	"2"	"6"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"15"	"11"	"0"	"218"	"218"	"1"	"0"
"20235"	"3"	"22"	"1"	"2"	"400"	"22"	"7"	"21"	"13"	"45"	"3"	"13"	"9"	"1"	"10"	"3"	"2"	"8"	"7"	"1"	"6"	"0"	"3"	"7"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"32"	"18"	"0"	"245"	"245"	"1"	"0"
"20236"	"3"	"22"	"1"	"2"	"400"	"17"	"5"	"20"	"10"	"31"	"9"	"10"	"3"	"0"	"5"	"2"	"3"	"12"	"13"	"3"	"4"	"0"	"1"	"9"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"27"	"19"	"0"	"217"	"217"	"1"	"0"
"20237"	"3"	"22"	"1"	"2"	"400"	"23"	"4"	"11"	"9"	"30"	"4"	"13"	"8"	"2"	"4"	"3"	"0"	"25"	"18"	"3"	"3"	"3"	"6"	"9"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"28"	"19"	"0"	"235"	"235"	"1"	"0"
"20238"	"3"	"22"	"1"	"2"	"400"	"30"	"7"	"16"	"14"	"28"	"9"	"9"	"3"	"1"	"6"	"3"	"0"	"12"	"14"	"6"	"7"	"2"	"2"	"10"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"25"	"24"	"0"	"247"	"256"	"0"	"0"
"20239"	"3"	"22"	"1"	"2"	"400"	"15"	"8"	"12"	"15"	"25"	"2"	"12"	"4"	"4"	"6"	"2"	"1"	"11"	"13"	"1"	"9"	"1"	"1"	"9"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"172"	"39"	"22"	"61"	"179"	"233"	"0"	"0"
"20240"	"3"	"22"	"1"	"2"	"400"	"26"	"8"	"18"	"12"	"36"	"8"	"11"	"9"	"3"	"5"	"5"	"1"	"14"	"15"	"4"	"7"	"1"	"5"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"20"	"11"	"0"	"238"	"238"	"1"	"0"
"20241"	"3"	"22"	"1"	"2"	"393"	"19"	"7"	"17"	"14"	"29"	"8"	"5"	"7"	"2"	"7"	"3"	"1"	"24"	"15"	"4"	"2"	"1"	"3"	"12"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"26"	"25"	"0"	"242"	"242"	"1"	"0"
