"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"BIEN"	"CREO"	"UNIONISTA"	"FUERZA"	"VALOR"	"WINAQ"	"FCN_NACION"	"VAMOS"	"EG"	"UNIDOS"	"SEMILLA"	"TODOS"	"CONVERGENCIA"	"PHG"	"PAN"	"PODEMOS"	"URNG_MAIZ"	"AVANZA"	"VIVA"	"MLP"	"PC"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17509"	"3"	"17"	"1"	"2"	"400"	"49"	"0"	"13"	"63"	"4"	"25"	"0"	"4"	"1"	"29"	"0"	"0"	"27"	"1"	"1"	"12"	"5"	"1"	"4"	"0"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"24"	"5"	"0"	"278"	"278"	"1"	"0"
"17510"	"3"	"17"	"1"	"2"	"397"	"42"	"1"	"7"	"59"	"6"	"21"	"0"	"1"	"0"	"29"	"1"	"0"	"24"	"9"	"4"	"7"	"3"	"0"	"2"	"0"	"12"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"24"	"5"	"0"	"262"	"262"	"1"	"0"
"17511"	"3"	"17"	"1"	"2"	"388"	"50"	"2"	"11"	"48"	"10"	"18"	"1"	"5"	"3"	"24"	"4"	"0"	"21"	"5"	"2"	"8"	"4"	"1"	"5"	"0"	"8"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"12"	"10"	"0"	"259"	"259"	"1"	"0"
"17512"	"3"	"17"	"1"	"2"	"386"	"38"	"0"	"11"	"55"	"7"	"16"	"0"	"3"	"3"	"26"	"1"	"1"	"17"	"1"	"3"	"10"	"4"	"3"	"2"	"0"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"18"	"5"	"0"	"232"	"232"	"1"	"0"
"17513"	"3"	"17"	"1"	"2"	"374"	"25"	"1"	"19"	"22"	"6"	"10"	"3"	"9"	"5"	"51"	"1"	"0"	"14"	"3"	"2"	"6"	"3"	"3"	"3"	"0"	"7"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"23"	"7"	"0"	"232"	"232"	"1"	"0"
"17514"	"3"	"17"	"1"	"2"	"380"	"32"	"3"	"15"	"16"	"4"	"8"	"3"	"7"	"7"	"45"	"1"	"0"	"17"	"4"	"3"	"8"	"0"	"1"	"5"	"0"	"6"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"22"	"17"	"0"	"233"	"233"	"1"	"0"
"17515"	"3"	"17"	"1"	"2"	"380"	"18"	"3"	"8"	"21"	"4"	"6"	"5"	"9"	"2"	"57"	"1"	"0"	"15"	"5"	"8"	"10"	"0"	"4"	"4"	"3"	"11"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"23"	"13"	"0"	"236"	"236"	"1"	"0"
"17516"	"3"	"17"	"1"	"2"	"380"	"29"	"3"	"12"	"19"	"5"	"3"	"0"	"4"	"3"	"47"	"1"	"1"	"17"	"8"	"3"	"7"	"2"	"3"	"3"	"3"	"7"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"27"	"13"	"0"	"234"	"234"	"1"	"0"
"17517"	"3"	"17"	"1"	"2"	"380"	"27"	"1"	"11"	"19"	"4"	"16"	"2"	"4"	"3"	"53"	"0"	"0"	"22"	"9"	"3"	"10"	"5"	"4"	"1"	"2"	"7"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"24"	"12"	"0"	"256"	"256"	"1"	"0"
"17518"	"3"	"17"	"1"	"2"	"380"	"31"	"3"	"9"	"28"	"5"	"4"	"2"	"6"	"4"	"52"	"0"	"0"	"14"	"5"	"8"	"6"	"2"	"3"	"2"	"1"	"12"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"22"	"14"	"0"	"241"	"241"	"1"	"0"
"17519"	"3"	"17"	"1"	"2"	"380"	"24"	"3"	"9"	"25"	"10"	"8"	"5"	"5"	"5"	"55"	"3"	"1"	"20"	"6"	"2"	"8"	"1"	"3"	"2"	"1"	"12"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"4"	"9"	"27"	"231"	"231"	"1"	"0"
"17520"	"3"	"17"	"1"	"2"	"380"	"32"	"5"	"13"	"26"	"6"	"3"	"4"	"6"	"5"	"53"	"1"	"0"	"16"	"6"	"2"	"4"	"3"	"1"	"6"	"1"	"14"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"23"	"10"	"5"	"248"	"248"	"1"	"0"
"17521"	"3"	"17"	"1"	"2"	"390"	"25"	"1"	"11"	"27"	"8"	"11"	"4"	"5"	"7"	"53"	"0"	"1"	"25"	"11"	"2"	"5"	"2"	"5"	"3"	"0"	"12"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"22"	"19"	"0"	"270"	"270"	"1"	"0"
"17522"	"3"	"17"	"1"	"2"	"380"	"26"	"3"	"9"	"33"	"5"	"15"	"2"	"1"	"8"	"50"	"2"	"0"	"17"	"11"	"3"	"12"	"0"	"3"	"5"	"2"	"14"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"24"	"15"	"0"	"268"	"268"	"1"	"0"
"17523"	"3"	"17"	"1"	"2"	"380"	"17"	"3"	"10"	"33"	"10"	"7"	"0"	"5"	"4"	"37"	"0"	"0"	"9"	"5"	"2"	"7"	"1"	"6"	"0"	"2"	"3"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"9"	"6"	"0"	"186"	"186"	"1"	"0"
"17524"	"3"	"17"	"1"	"2"	"377"	"36"	"0"	"6"	"28"	"4"	"9"	"1"	"3"	"3"	"50"	"0"	"1"	"17"	"4"	"6"	"10"	"3"	"2"	"4"	"0"	"4"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"22"	"11"	"0"	"235"	"235"	"1"	"0"
"17525"	"3"	"17"	"1"	"2"	"380"	"22"	"2"	"17"	"31"	"5"	"6"	"2"	"2"	"7"	"55"	"0"	"0"	"17"	"5"	"4"	"7"	"1"	"4"	"5"	"1"	"5"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"12"	"15"	"0"	"237"	"237"	"1"	"0"
"17526"	"3"	"17"	"1"	"2"	"380"	"21"	"1"	"12"	"32"	"6"	"3"	"6"	"6"	"7"	"42"	"1"	"0"	"22"	"4"	"2"	"7"	"1"	"5"	"6"	"2"	"10"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"13"	"14"	"1"	"232"	"232"	"1"	"0"
