"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"AVANZA"	"UNE"	"VIVA"	"VALOR"	"WINAQ"	"TODOS"	"CREO"	"UCN"	"PAN"	"FCN_NACION"	"UNIDOS"	"VICTORIA"	"BIEN"	"SEMILLA"	"PHG"	"UNIONISTA"	"PC"	"MLP"	"EG"	"FUERZA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7274"	"3"	"6"	"1"	"2"	"400"	"11"	"2"	"33"	"3"	"4"	"2"	"10"	"21"	"13"	"5"	"12"	"2"	"2"	"1"	"2"	"10"	"6"	"40"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"36"	"8"	"0"	"226"	"226"	"1"	"0"
"7275"	"3"	"6"	"1"	"2"	"400"	"14"	"4"	"41"	"11"	"3"	"0"	"9"	"22"	"16"	"11"	"8"	"2"	"0"	"1"	"4"	"7"	"8"	"66"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"30"	"13"	"0"	"273"	"273"	"1"	"0"
"7276"	"3"	"6"	"1"	"2"	"400"	"9"	"4"	"39"	"3"	"8"	"5"	"6"	"18"	"19"	"11"	"6"	"1"	"1"	"1"	"6"	"14"	"8"	"50"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"29"	"20"	"0"	"262"	"262"	"1"	"1"
"7277"	"3"	"6"	"1"	"2"	"400"	"10"	"2"	"30"	"3"	"3"	"3"	"17"	"22"	"10"	"7"	"8"	"0"	"0"	"2"	"4"	"6"	"17"	"62"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"36"	"21"	"0"	"264"	"264"	"1"	"0"
"7278"	"3"	"6"	"1"	"2"	"401"	"12"	"1"	"44"	"3"	"1"	"4"	"11"	"18"	"6"	"12"	"13"	"1"	"3"	"1"	"11"	"7"	"14"	"44"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"36"	"13"	"0"	"261"	"261"	"1"	"0"
"7279"	"3"	"6"	"1"	"2"	"400"	"8"	"2"	"40"	"5"	"4"	"3"	"14"	"21"	"16"	"7"	"8"	"1"	"2"	"6"	"6"	"7"	"9"	"49"	"3"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"31"	"29"	"0"	"277"	"277"	"1"	"0"
"7280"	"3"	"6"	"1"	"2"	"396"	"9"	"5"	"43"	"6"	"5"	"2"	"9"	"19"	"18"	"6"	"6"	"3"	"3"	"1"	"6"	"4"	"7"	"53"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"32"	"24"	"2"	"265"	"265"	"1"	"0"
"7281"	"3"	"6"	"1"	"2"	"401"	"13"	"1"	"45"	"7"	"2"	"2"	"9"	"17"	"8"	"13"	"5"	"16"	"1"	"1"	"9"	"16"	"17"	"66"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"15"	"12"	"0"	"283"	"283"	"1"	"0"
"7282"	"3"	"6"	"1"	"2"	"400"	"15"	"3"	"43"	"5"	"8"	"1"	"8"	"21"	"21"	"11"	"13"	"1"	"0"	"0"	"15"	"10"	"12"	"51"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"28"	"17"	"0"	"289"	"289"	"1"	"0"
"7283"	"3"	"6"	"1"	"2"	"400"	"11"	"2"	"45"	"4"	"6"	"0"	"13"	"26"	"14"	"10"	"10"	"3"	"2"	"3"	"8"	"6"	"10"	"41"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"36"	"18"	"0"	"272"	"272"	"1"	"0"
"7284"	"3"	"6"	"1"	"2"	"397"	"10"	"1"	"31"	"9"	"5"	"2"	"13"	"29"	"14"	"9"	"7"	"0"	"1"	"5"	"8"	"9"	"10"	"53"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"43"	"17"	"0"	"281"	"281"	"1"	"0"
"7285"	"3"	"6"	"1"	"2"	"400"	"11"	"0"	"65"	"5"	"6"	"0"	"7"	"17"	"37"	"4"	"22"	"1"	"1"	"1"	"4"	"10"	"9"	"30"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"27"	"30"	"0"	"295"	"295"	"1"	"0"
"7286"	"3"	"6"	"1"	"2"	"400"	"7"	"2"	"69"	"4"	"1"	"1"	"9"	"16"	"41"	"5"	"18"	"3"	"2"	"2"	"8"	"7"	"7"	"41"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"28"	"18"	"0"	"293"	"293"	"1"	"0"
"7287"	"3"	"6"	"1"	"2"	"400"	"10"	"6"	"50"	"5"	"4"	"3"	"7"	"23"	"10"	"4"	"11"	"1"	"1"	"1"	"8"	"12"	"13"	"58"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"22"	"9"	"0"	"262"	"262"	"1"	"0"
"7288"	"3"	"6"	"1"	"2"	"400"	"11"	"3"	"32"	"6"	"3"	"3"	"9"	"17"	"13"	"5"	"9"	"0"	"2"	"1"	"13"	"11"	"11"	"61"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"19"	"9"	"0"	"239"	"239"	"1"	"0"
"7289"	"3"	"6"	"1"	"2"	"400"	"8"	"2"	"30"	"6"	"5"	"1"	"9"	"22"	"18"	"4"	"11"	"1"	"2"	"3"	"9"	"6"	"19"	"33"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"31"	"18"	"0"	"246"	"246"	"1"	"0"
"7290"	"3"	"6"	"1"	"2"	"400"	"8"	"1"	"31"	"7"	"5"	"2"	"12"	"21"	"11"	"1"	"7"	"0"	"1"	"5"	"12"	"6"	"16"	"54"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"20"	"12"	"0"	"236"	"236"	"1"	"0"
