"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"BIEN"	"PC"	"FCN_NACION"	"WINAQ"	"URNG_MAIZ"	"EG"	"VICTORIA"	"UCN"	"SEMILLA"	"FUERZA"	"PODEMOS"	"PHG"	"UNIDOS"	"UNE"	"MLP"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7887"	"3"	"7"	"1"	"2"	"400"	"11"	"10"	"2"	"22"	"47"	"2"	"103"	"2"	"0"	"3"	"11"	"24"	"3"	"4"	"3"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"20"	"25"	"0"	"304"	"304"	"1"	"0"
"7888"	"3"	"7"	"1"	"2"	"400"	"9"	"3"	"1"	"10"	"48"	"3"	"119"	"2"	"1"	"2"	"3"	"28"	"6"	"0"	"0"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"25"	"36"	"0"	"317"	"317"	"1"	"0"
"7889"	"3"	"7"	"1"	"2"	"400"	"15"	"15"	"3"	"10"	"46"	"3"	"120"	"3"	"4"	"3"	"5"	"18"	"4"	"2"	"0"	"11"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"22"	"24"	"0"	"319"	"319"	"1"	"0"
"7890"	"3"	"7"	"1"	"2"	"400"	"10"	"8"	"3"	"19"	"54"	"4"	"116"	"2"	"3"	"4"	"8"	"19"	"4"	"5"	"2"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"28"	"29"	"0"	"331"	"331"	"1"	"0"
"7891"	"3"	"7"	"1"	"2"	"400"	"15"	"14"	"3"	"15"	"47"	"6"	"127"	"2"	"3"	"6"	"5"	"19"	"1"	"4"	"0"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"17"	"21"	"0"	"320"	"320"	"1"	"0"
"7892"	"3"	"7"	"1"	"2"	"400"	"7"	"9"	"3"	"20"	"49"	"6"	"105"	"1"	"0"	"7"	"3"	"24"	"5"	"10"	"0"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"23"	"29"	"0"	"311"	"311"	"1"	"0"
"7893"	"3"	"7"	"1"	"2"	"396"	"16"	"15"	"5"	"12"	"52"	"4"	"82"	"1"	"2"	"6"	"7"	"28"	"4"	"4"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"34"	"22"	"0"	"305"	"305"	"1"	"0"
"7894"	"3"	"7"	"1"	"2"	"400"	"8"	"7"	"5"	"21"	"45"	"2"	"97"	"2"	"2"	"5"	"6"	"23"	"1"	"3"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"24"	"26"	"0"	"288"	"288"	"1"	"0"
"7895"	"3"	"7"	"1"	"2"	"400"	"16"	"16"	"3"	"19"	"54"	"9"	"84"	"1"	"2"	"3"	"2"	"21"	"3"	"4"	"0"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"20"	"20"	"0"	"290"	"290"	"1"	"0"
"7896"	"3"	"7"	"1"	"2"	"400"	"16"	"10"	"6"	"26"	"55"	"5"	"85"	"4"	"3"	"3"	"3"	"26"	"3"	"7"	"0"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"21"	"20"	"0"	"310"	"310"	"1"	"0"
"7897"	"3"	"7"	"1"	"2"	"400"	"20"	"13"	"3"	"21"	"39"	"5"	"93"	"3"	"2"	"7"	"10"	"28"	"3"	"2"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"23"	"13"	"0"	"293"	"293"	"1"	"0"
"7898"	"3"	"7"	"1"	"2"	"400"	"21"	"10"	"4"	"22"	"57"	"7"	"94"	"1"	"3"	"4"	"4"	"23"	"2"	"4"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"18"	"23"	"0"	"304"	"304"	"1"	"0"
"7899"	"3"	"7"	"1"	"2"	"398"	"11"	"16"	"8"	"21"	"37"	"7"	"89"	"0"	"1"	"2"	"4"	"21"	"2"	"5"	"1"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"18"	"22"	"0"	"281"	"281"	"1"	"0"
"7900"	"3"	"7"	"1"	"2"	"400"	"15"	"9"	"2"	"13"	"39"	"4"	"63"	"1"	"0"	"1"	"4"	"16"	"3"	"7"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"15"	"6"	"69"	"202"	"202"	"1"	"0"
"7901"	"3"	"7"	"1"	"2"	"274"	"9"	"8"	"3"	"10"	"25"	"2"	"80"	"0"	"2"	"0"	"3"	"17"	"2"	"2"	"1"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"11"	"6"	"0"	"190"	"190"	"1"	"0"
"7902"	"3"	"7"	"1"	"2"	"400"	"9"	"8"	"5"	"0"	"27"	"9"	"135"	"0"	"4"	"1"	"3"	"17"	"1"	"0"	"2"	"9"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"17"	"26"	"0"	"285"	"285"	"1"	"0"
"7903"	"3"	"7"	"1"	"2"	"400"	"7"	"8"	"2"	"9"	"16"	"4"	"144"	"0"	"2"	"2"	"4"	"20"	"2"	"2"	"1"	"10"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"9"	"46"	"96"	"304"	"304"	"1"	"0"
"7904"	"3"	"7"	"1"	"2"	"400"	"6"	"5"	"10"	"4"	"8"	"3"	"175"	"1"	"3"	"3"	"3"	"9"	"3"	"2"	"0"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"13"	"46"	"0"	"319"	"319"	"1"	"0"
"7905"	"3"	"7"	"1"	"2"	"400"	"5"	"5"	"10"	"7"	"15"	"2"	"163"	"1"	"2"	"1"	"1"	"12"	"6"	"1"	"0"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"14"	"58"	"0"	"326"	"326"	"1"	"0"
"7906"	"3"	"7"	"1"	"2"	"400"	"4"	"2"	"6"	"3"	"9"	"1"	"200"	"1"	"1"	"6"	"5"	"13"	"2"	"1"	"1"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"16"	"48"	"0"	"338"	"338"	"1"	"0"
"7907"	"3"	"7"	"1"	"2"	"400"	"6"	"6"	"10"	"1"	"24"	"2"	"187"	"1"	"3"	"3"	"1"	"10"	"4"	"1"	"1"	"11"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"13"	"41"	"0"	"335"	"335"	"1"	"0"
"7908"	"3"	"7"	"1"	"2"	"400"	"2"	"6"	"8"	"6"	"17"	"1"	"182"	"0"	"6"	"6"	"0"	"6"	"5"	"2"	"1"	"9"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"14"	"38"	"1"	"321"	"321"	"1"	"0"
"7909"	"3"	"7"	"1"	"2"	"400"	"2"	"7"	"4"	"3"	"12"	"1"	"164"	"1"	"5"	"2"	"6"	"17"	"0"	"3"	"0"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"15"	"87"	"0"	"346"	"346"	"1"	"0"
"7910"	"3"	"7"	"1"	"2"	"400"	"3"	"9"	"9"	"4"	"11"	"0"	"128"	"2"	"1"	"5"	"0"	"5"	"3"	"0"	"1"	"21"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"11"	"95"	"0"	"322"	"322"	"1"	"0"
